plan_a,plan_b,cell_x,cell_y,cell_z,idx_a,idx_b,time_a,time_b,time_gap,time_diff,required_gap,conflict_type
21,56,15,33,2,24,25,1193.7289145228904,1257.0116687583316,-63.28275423544119,63.28275423544119,81.59975264526256,uncertain
21,56,15,28,2,29,30,1249.9248704473082,1306.581580790268,-56.65671034295974,56.65671034295974,86.78218494496437,uncertain
21,56,15,23,2,34,35,1306.120826371726,1356.1514928222043,-50.03066645047829,50.03066645047829,91.96461724466621,uncertain
21,56,15,29,2,28,29,1238.6856792624246,1296.6675983838807,-57.98191912145603,57.98191912145603,85.74569848502401,uncertain
21,56,15,24,2,33,34,1294.8816351868425,1346.237510415817,-51.35587522897458,51.35587522897458,90.92813078472585,uncertain
21,56,15,30,2,27,28,1227.446488077541,1286.7536159774934,-59.30712789995232,59.30712789995232,84.70921202508364,uncertain
21,56,15,31,2,26,27,1216.2072968926575,1276.839633571106,-60.63233667844861,60.63233667844861,83.67272556514328,uncertain
21,56,15,34,2,23,24,1182.4897233380068,1247.0976863519443,-64.60796301393748,64.60796301393748,80.56326618532219,uncertain
21,56,15,26,2,31,32,1272.4032528170753,1326.4095456030425,-54.00629278596716,54.00629278596716,88.85515786484511,uncertain
21,56,15,21,2,36,37,1328.5992087414932,1375.9794576349789,-47.380248893485714,47.380248893485714,94.03759016454694,uncertain
21,56,15,27,2,30,31,1261.1640616321918,1316.4955631966552,-55.33150156446345,55.33150156446345,87.81867140490473,uncertain
21,56,15,22,2,35,36,1317.3600175566096,1366.0654752285916,-48.705457671982,48.705457671982,93.00110370460658,uncertain
21,56,15,25,2,32,33,1283.642444001959,1336.3235280094298,-52.68108400747087,52.68108400747087,89.89164432478547,uncertain
22,33,12,30,2,50,24,690.6441168749136,653.775595096991,36.86852177792264,36.86852177792264,85.49452165140693,uncertain
23,24,37,51,2,42,17,819.3076887924751,849.936520590041,-30.62883179756591,30.62883179756591,86.48618787321439,uncertain
23,70,37,27,1,18,12,561.9284349102601,507.7755821270569,54.15285278320317,54.15285278320317,72.39842549053986,uncertain
23,91,38,25,1,16,21,536.0854930833295,489.18386169111164,46.901631392217894,46.901631392217894,80.5148088975879,uncertain
24,95,28,51,2,26,51,931.1112617646253,984.5481168410956,-53.43685507647035,53.43685507647035,92.97653325974137,uncertain
25,44,27,35,1,20,24,1889.6816094923795,1827.5487512411264,62.13285825125308,62.13285825125308,78.93781692168413,uncertain
27,41,55,47,1,53,54,1824.0447062358191,1726.7292499329196,97.31545630289952,97.31545630289952,113.26143513126908,uncertain
27,51,31,45,2,29,35,1606.701114214125,1553.5891623511136,53.11195186301143,53.11195186301143,85.5449068905827,uncertain
27,89,24,45,2,22,34,1545.7486500673274,1509.1817701553427,36.56687991198464,36.56687991198464,92.38032419688122,uncertain
28,62,24,43,2,17,6,1297.8460534842998,1292.305019952633,5.541033531666699,5.541033531666699,68.58182469039144,uncertain
28,83,23,42,2,18,13,1312.740133279152,1286.715806295755,26.024326983396804,26.024326983396804,75.25440988930865,uncertain
29,73,44,17,1,17,6,1414.7076309567178,1414.6894150324563,0.01821592426153984,0.01821592426153984,66.32465841524144,uncertain
29,73,45,16,1,16,5,1402.800579307038,1396.8739117386697,5.92666756836843,5.92666756836843,64.86827998479878,uncertain
30,35,30,43,1,27,7,870.5515862623836,907.235302874132,-36.68371661174842,36.68371661174842,74.80041640125633,uncertain
31,32,36,45,2,6,23,1322.650388037705,1287.2121351863593,35.438252851345624,35.438252851345624,73.05409800585946,uncertain
31,63,28,37,3,14,33,1420.8434703689036,1443.555446923427,-22.711976554523517,22.711976554523517,79.25631105266851,uncertain
31,64,5,16,2,38,53,1697.7919508076302,1616.5431131374637,81.2488376701665,81.2488376701665,99.51136660129382,uncertain
31,83,30,39,2,12,20,1396.0909211334506,1376.2214631209295,19.869458012521136,19.869458012521136,74.26483831548082,uncertain
32,45,54,31,1,5,51,1020.8898798493975,1101.5777054769685,-80.68782562757099,80.68782562757099,84.53285455654066,uncertain
32,67,51,34,1,8,25,1066.7114796533422,1104.0881046111806,-37.37662495783843,37.37662495783843,73.51072970945212,uncertain
