action_type,plan_id,old_pairs,new_pairs,old_points,new_points,accepted,rollback,runtime_ms,reason,old_target_points,new_target_points,new_pairs_created_by_action,stage,iter,segment_idx,pair,segment_points,conflict_class,matched_strategy,candidate_rank,prob_delay,prob_speed,prob_reroute,source,prob_delay_after,prob_speed_after,prob_reroute_after,round,unit_id,plan_a,plan_b,strategy,actor_flight,old_global_points,new_global_points,old_global_pairs,new_global_pairs
cruise_level,27,28,28,32,31,False,True,7.5864000000365195,rollback,2,1,0,stage2_independent_matching,16,0,27-54,1,crossing,reroute,1,0.3720703125,0.00234375,0.6255859375,ADM_ref6_independent_matching,,,,16,0,27,54,reroute,27,32,31,28,28
cruise_level,27,28,28,32,31,False,True,7.51860000036686,rollback,2,1,0,stage2_independent_matching,16,0,27-54,1,crossing,reroute,2,0.3720703125,0.00234375,0.6255859375,ADM_ref6_independent_matching,,,,16,0,27,54,reroute,27,32,31,28,28
cruise_level,54,28,27,32,30,True,False,7.858199999645876,pairs_decreased,2,0,0,stage2_independent_matching,16,0,27-54,1,crossing,reroute,3,0.3720703125,0.00234375,0.6255859375,ADM_ref6_independent_matching,0.18603515625,0.001171875,0.81279296875,16,0,27,54,reroute,54,32,30,28,27
cruise_level,19,27,26,30,29,True,False,7.812199999989389,pairs_decreased,1,0,0,stage2_independent_matching,17,0,19-71,1,crossing,reroute,0,0.18603515625,0.001171875,0.81279296875,ADM_ref6_independent_matching,0.093017578125,0.0005859375,0.906396484375,17,0,19,71,reroute,19,30,29,27,26
cruise_level,39,26,24,29,27,True,False,9.167400000023918,pairs_decreased,1,0,0,stage2_independent_matching,18,0,39-52,1,head_to_head,reroute,0,0.0046875,0.0046875,0.990625,ADM_ref6_independent_matching,0.00234375,0.00234375,0.9953125,18,0,39,52,reroute,39,29,27,26,24
cruise_level,22,24,24,27,27,False,True,20.740399999795045,rollback,1,0,1,stage2_independent_matching,19,0,22-84,1,crossing,reroute,0,0.093017578125,0.0005859375,0.906396484375,ADM_ref6_independent_matching,,,,19,0,22,84,reroute,22,27,27,24,24
cruise_level,22,24,24,27,27,False,True,7.790099999965605,rollback,1,0,1,stage2_independent_matching,19,0,22-84,1,crossing,reroute,1,0.093017578125,0.0005859375,0.906396484375,ADM_ref6_independent_matching,,,,19,0,22,84,reroute,22,27,27,24,24
cruise_level,22,24,23,27,26,True,False,7.603399999879912,pairs_decreased,1,0,0,stage2_independent_matching,19,0,22-84,1,crossing,reroute,2,0.093017578125,0.0005859375,0.906396484375,ADM_ref6_independent_matching,0.0465087890625,0.00029296875,0.9531982421875,19,0,22,84,reroute,22,27,26,24,23
cruise_level,23,23,23,26,26,False,True,7.929100000183098,rollback,1,0,1,stage2_independent_matching,20,0,23-35,1,head_to_head,reroute,0,0.00234375,0.00234375,0.9953125,ADM_ref6_independent_matching,,,,20,0,23,35,reroute,23,26,26,23,23
cruise_level,23,23,22,26,25,True,False,7.641799999873911,pairs_decreased,1,0,0,stage2_independent_matching,20,0,23-35,1,head_to_head,reroute,1,0.00234375,0.00234375,0.9953125,ADM_ref6_independent_matching,0.001171875,0.001171875,0.99765625,20,0,23,35,reroute,23,26,25,23,22
cruise_level,24,22,21,25,24,True,False,7.520999999997002,pairs_decreased,1,0,0,stage2_independent_matching,21,0,24-94,1,head_to_head,reroute,0,0.001171875,0.001171875,0.99765625,ADM_ref6_independent_matching,0.0005859375,0.0005859375,0.998828125,21,0,24,94,reroute,24,25,24,22,21
cruise_level,25,21,22,24,26,False,True,7.643800000096235,rollback,1,0,2,stage2_independent_matching,22,0,25-45,1,crossing,reroute,0,0.0465087890625,0.00029296875,0.9531982421875,ADM_ref6_independent_matching,,,,22,0,25,45,reroute,25,24,26,21,22
cruise_level,25,21,21,24,24,True,False,7.561899999927846,soft_decreased,1,0,1,stage2_independent_matching,22,0,25-45,1,crossing,reroute,1,0.0465087890625,0.00029296875,0.9531982421875,ADM_ref6_independent_matching,0.02325439453125,0.000146484375,0.97659912109375,22,0,25,45,reroute,25,24,24,21,21
cruise_level,6,21,22,24,25,False,True,7.939099999930477,rollback,1,0,2,stage2_independent_matching,23,0,6-25,1,crossing,reroute,0,0.02325439453125,0.000146484375,0.97659912109375,ADM_ref6_independent_matching,,,,23,0,6,25,reroute,6,24,25,21,22
cruise_level,6,21,20,24,23,True,False,7.769400000142923,pairs_decreased,1,0,0,stage2_independent_matching,23,0,6-25,1,crossing,reroute,1,0.02325439453125,0.000146484375,0.97659912109375,ADM_ref6_independent_matching,0.011627197265625,7.32421875e-05,0.988299560546875,23,0,6,25,reroute,6,24,23,21,20
cruise_level,28,20,20,23,23,False,True,7.858200000100624,rollback,1,0,1,stage2_independent_matching,24,0,28-45,1,crossing,reroute,0,0.011627197265625,7.32421875e-05,0.988299560546875,ADM_ref6_independent_matching,,,,24,0,28,45,reroute,28,23,23,20,20
cruise_level,28,20,19,23,22,True,False,11.863300000186427,pairs_decreased,1,0,0,stage2_independent_matching,24,0,28-45,1,crossing,reroute,1,0.011627197265625,7.32421875e-05,0.988299560546875,ADM_ref6_independent_matching,0.0058135986328125,3.662109375e-05,0.9941497802734375,24,0,28,45,reroute,28,23,22,20,19
cruise_level,29,19,17,22,20,True,False,8.095300000150019,pairs_decreased,1,0,0,stage2_independent_matching,25,0,29-83,1,head_to_head,reroute,0,0.0005859375,0.0005859375,0.998828125,ADM_ref6_independent_matching,0.00029296875,0.00029296875,0.9994140625,25,0,29,83,reroute,29,22,20,19,17
cruise_level,33,17,16,20,19,True,False,7.791999999881227,pairs_decreased,1,0,0,stage2_independent_matching,26,0,33-62,1,crossing,reroute,0,0.0058135986328125,3.662109375e-05,0.9941497802734375,ADM_ref6_independent_matching,0.00290679931640625,1.8310546875e-05,0.9970748901367188,26,0,33,62,reroute,33,20,19,17,16
cruise_level,38,16,17,19,20,False,True,8.47059999978228,rollback,1,0,2,stage2_independent_matching,27,0,38-78,1,crossing,reroute,0,0.00290679931640625,1.8310546875e-05,0.9970748901367188,ADM_ref6_independent_matching,,,,27,0,38,78,reroute,38,19,20,16,17
cruise_level,38,16,15,19,18,True,False,7.528699999966193,pairs_decreased,1,0,0,stage2_independent_matching,27,0,38-78,1,crossing,reroute,1,0.00290679931640625,1.8310546875e-05,0.9970748901367188,ADM_ref6_independent_matching,0.001453399658203125,9.1552734375e-06,0.9985374450683594,27,0,38,78,reroute,38,19,18,16,15
cruise_level,34,15,16,18,23,False,True,8.771799999976793,rollback,1,0,2,stage2_independent_matching,28,0,34-61,1,crossing,reroute,0,0.001453399658203125,9.1552734375e-06,0.9985374450683594,ADM_ref6_independent_matching,,,,28,0,34,61,reroute,34,18,23,15,16
cruise_level,34,15,14,18,17,True,False,8.407599999827653,pairs_decreased,1,0,0,stage2_independent_matching,28,0,34-61,1,crossing,reroute,1,0.001453399658203125,9.1552734375e-06,0.9985374450683594,ADM_ref6_independent_matching,0.0007266998291015625,4.57763671875e-06,0.9992687225341796,28,0,34,61,reroute,34,18,17,15,14
cruise_level,37,14,15,17,17,False,True,8.395800000016607,rollback,1,0,2,stage2_independent_matching,29,0,37-92,1,head_to_head,reroute,0,0.00029296875,0.00029296875,0.9994140625,ADM_ref6_independent_matching,,,,29,0,37,92,reroute,37,17,17,14,15
cruise_level,37,14,13,17,15,True,False,7.905599999958213,pairs_decreased,1,0,0,stage2_independent_matching,29,0,37-92,1,head_to_head,reroute,1,0.00029296875,0.00029296875,0.9994140625,ADM_ref6_independent_matching,0.000146484375,0.000146484375,0.99970703125,29,0,37,92,reroute,37,17,15,14,13
cruise_level,37,13,15,15,17,False,True,8.55520000004617,rollback,1,1,2,stage2_independent_matching,30,0,37-76,1,crossing,reroute,0,0.0007266998291015625,4.57763671875e-06,0.9992687225341796,ADM_ref6_independent_matching,,,,30,0,37,76,reroute,37,15,17,13,15
cruise_level,37,13,13,15,15,False,True,7.795900000019174,rollback,1,1,0,stage2_independent_matching,30,0,37-76,1,crossing,reroute,1,0.0007266998291015625,4.57763671875e-06,0.9992687225341796,ADM_ref6_independent_matching,,,,30,0,37,76,reroute,37,15,15,13,13
cruise_level,76,13,13,15,15,False,True,9.08320000007734,rollback,1,1,0,stage2_independent_matching,30,0,37-76,1,crossing,reroute,2,0.0007266998291015625,4.57763671875e-06,0.9992687225341796,ADM_ref6_independent_matching,,,,30,0,37,76,reroute,76,15,15,13,13
cruise_level,76,13,12,15,14,True,False,20.701699999790435,pairs_decreased,1,0,0,stage2_independent_matching,30,0,37-76,1,crossing,reroute,3,0.0007266998291015625,4.57763671875e-06,0.9992687225341796,ADM_ref6_independent_matching,0.00036334991455078125,2.288818359375e-06,0.9996343612670898,30,0,37,76,reroute,76,15,14,13,12
cruise_level,40,12,11,14,13,True,False,9.044999999787251,pairs_decreased,1,0,0,stage2_independent_matching,31,0,40-50,1,head_to_head,reroute,0,0.000146484375,0.000146484375,0.99970703125,ADM_ref6_independent_matching,7.32421875e-05,7.32421875e-05,0.999853515625,31,0,40,50,reroute,40,14,13,12,11
cruise_level,42,11,10,13,11,True,False,7.962800000314019,pairs_decreased,2,0,0,stage2_independent_matching,32,0,42-78,1,crossing,reroute,0,0.00036334991455078125,2.288818359375e-06,0.9996343612670898,ADM_ref6_independent_matching,0.00018167495727539062,1.1444091796875e-06,0.999817180633545,32,0,42,78,reroute,42,13,11,11,10
cruise_level,68,10,9,11,10,True,False,7.8233999997792125,pairs_decreased,1,0,0,stage2_independent_matching,33,0,68-95,1,head_to_head,reroute,0,7.32421875e-05,7.32421875e-05,0.999853515625,ADM_ref6_independent_matching,3.662109375e-05,3.662109375e-05,0.9999267578125,33,0,68,95,reroute,68,11,10,10,9
cruise_level,45,9,9,10,10,False,True,7.760800000141899,rollback,1,0,1,stage2_independent_matching,34,0,45-59,1,crossing,reroute,0,0.00018167495727539062,1.1444091796875e-06,0.999817180633545,ADM_ref6_independent_matching,,,,34,0,45,59,reroute,45,10,10,9,9
cruise_level,45,9,11,10,13,False,True,7.552699999905599,rollback,1,0,3,stage2_independent_matching,34,0,45-59,1,crossing,reroute,1,0.00018167495727539062,1.1444091796875e-06,0.999817180633545,ADM_ref6_independent_matching,,,,34,0,45,59,reroute,45,10,13,9,11
cruise_level,45,9,8,10,9,True,False,7.472400000096968,pairs_decreased,1,0,0,stage2_independent_matching,34,0,45-59,1,crossing,reroute,2,0.00018167495727539062,1.1444091796875e-06,0.999817180633545,ADM_ref6_independent_matching,9.083747863769531e-05,5.7220458984375e-07,0.9999085903167725,34,0,45,59,reroute,45,10,9,9,8
cruise_level,48,8,7,9,8,True,False,8.707899999990332,pairs_decreased,1,0,0,stage2_independent_matching,35,0,48-75,1,crossing,reroute,0,9.083747863769531e-05,5.7220458984375e-07,0.9999085903167725,ADM_ref6_independent_matching,4.5418739318847656e-05,2.86102294921875e-07,0.9999542951583862,35,0,48,75,reroute,48,9,8,8,7
cruise_level,51,7,8,8,12,False,True,8.5042999999132,rollback,1,0,2,stage2_independent_matching,36,0,51-80,1,head_to_head,reroute,0,3.662109375e-05,3.662109375e-05,0.9999267578125,ADM_ref6_independent_matching,,,,36,0,51,80,reroute,51,8,12,7,8
cruise_level,51,7,6,8,7,True,False,7.82759999992777,pairs_decreased,1,0,0,stage2_independent_matching,36,0,51-80,1,head_to_head,reroute,1,3.662109375e-05,3.662109375e-05,0.9999267578125,ADM_ref6_independent_matching,1.8310546875e-05,1.8310546875e-05,0.99996337890625,36,0,51,80,reroute,51,8,7,7,6
cruise_level,52,6,7,7,8,False,True,9.960200000023178,rollback,1,0,2,stage2_independent_matching,37,0,52-95,1,crossing,reroute,0,4.5418739318847656e-05,2.86102294921875e-07,0.9999542951583862,ADM_ref6_independent_matching,,,,37,0,52,95,reroute,52,7,8,6,7
cruise_level,52,6,5,7,6,True,False,21.365200000218465,pairs_decreased,1,0,0,stage2_independent_matching,37,0,52-95,1,crossing,reroute,1,4.5418739318847656e-05,2.86102294921875e-07,0.9999542951583862,ADM_ref6_independent_matching,2.2709369659423828e-05,1.430511474609375e-07,0.9999771475791931,37,0,52,95,reroute,52,7,6,6,5
cruise_level,55,5,4,6,4,True,False,7.953699999688979,pairs_decreased,2,0,0,stage2_independent_matching,38,0,55-77,1,head_to_head,reroute,0,1.8310546875e-05,1.8310546875e-05,0.99996337890625,ADM_ref6_independent_matching,9.1552734375e-06,9.1552734375e-06,0.999981689453125,38,0,55,77,reroute,55,6,4,5,4
cruise_level,77,4,3,4,3,True,False,8.385199999793258,pairs_decreased,1,0,0,stage2_independent_matching,39,0,77-83,1,crossing,reroute,0,2.2709369659423828e-05,1.430511474609375e-07,0.9999771475791931,ADM_ref6_independent_matching,1.1354684829711914e-05,7.152557373046875e-08,0.9999885737895966,39,0,77,83,reroute,77,4,3,4,3
cruise_level,61,3,3,3,3,False,True,8.154099999956088,rollback,1,0,1,stage2_independent_matching,40,0,61-83,1,crossing,reroute,0,1.1354684829711914e-05,7.152557373046875e-08,0.9999885737895966,ADM_ref6_independent_matching,,,,40,0,61,83,reroute,61,3,3,3,3
cruise_level,61,3,3,3,3,False,True,8.047400000123162,rollback,1,0,1,stage2_independent_matching,40,0,61-83,1,crossing,reroute,1,1.1354684829711914e-05,7.152557373046875e-08,0.9999885737895966,ADM_ref6_independent_matching,,,,40,0,61,83,reroute,61,3,3,3,3
cruise_level,61,3,3,3,3,False,True,7.845300000099087,rollback,1,0,1,stage2_independent_matching,40,0,61-83,1,crossing,reroute,2,1.1354684829711914e-05,7.152557373046875e-08,0.9999885737895966,ADM_ref6_independent_matching,,,,40,0,61,83,reroute,61,3,3,3,3
cruise_level,83,3,2,3,2,True,False,7.970199999817851,pairs_decreased,1,0,0,stage2_independent_matching,40,0,61-83,1,crossing,reroute,3,1.1354684829711914e-05,7.152557373046875e-08,0.9999885737895966,ADM_ref6_independent_matching,5.677342414855957e-06,3.5762786865234374e-08,0.9999942868947983,40,0,61,83,reroute,83,3,2,3,2
cruise_level,66,2,1,2,1,True,False,8.122499999899446,pairs_decreased,1,0,0,stage2_independent_matching,41,0,66-87,1,crossing,reroute,0,5.677342414855957e-06,3.5762786865234374e-08,0.9999942868947983,ADM_ref6_independent_matching,2.8386712074279785e-06,1.7881393432617187e-08,0.9999971434473991,41,0,66,87,reroute,66,2,1,2,1
cruise_level,96,1,0,1,0,True,False,8.805599999959668,pairs_decreased,1,0,0,stage2_independent_matching,42,0,96-97,1,crossing,reroute,0,2.8386712074279785e-06,1.7881393432617187e-08,0.9999971434473991,ADM_ref6_independent_matching,1.4193356037139893e-06,8.940696716308593e-09,0.9999985717236995,42,0,96,97,reroute,96,1,0,1,0
