generation,population_size,accepted_trials,rolled_back_trials,acceptance_rate,best_conflict_pairs,best_conflict_points,best_fitness,mean_conflict_pairs,mean_conflict_points,best_conflict_lexicographic_pairs,best_conflict_lexicographic_points,adm_learning_samples,rollback_due_to_pair_increase,rollback_due_to_point_increase,rollback_due_to_fitness_worse,new_pair_trials_rejected,rejected_lower_risk_equal_conflicts,rollback_due_to_infeasible_route,exact_survivors,moved_same_pair,new_conflict_pairs,new_conflict_points,resolved_original_conflicts
104,50,1,49,0.02,20,21,993148.8869604899,23.36,39.34,19,23,1,16,0,0,16,0,33,9,0,11,12,43
105,50,0,50,0.0,20,21,992964.4570289515,23.36,39.34,19,23,0,18,0,0,18,0,32,9,0,11,12,43
106,50,0,50,0.0,20,21,992772.8657631923,23.36,39.34,19,23,0,16,0,0,16,0,34,9,0,11,12,43
107,50,0,50,0.0,20,21,992573.9066050884,23.36,39.34,19,23,0,15,0,0,15,0,35,9,0,11,12,43
108,50,0,50,0.0,20,21,992367.3690622535,23.36,39.34,19,23,0,17,0,0,17,0,33,9,0,11,12,43
109,50,1,49,0.02,20,21,992153.0386709208,23.34,39.46,19,23,1,17,0,0,17,0,32,9,0,11,12,43
110,50,1,49,0.02,20,21,991930.6969588296,23.32,38.84,19,23,1,8,0,0,8,0,41,9,0,11,12,43
111,50,0,50,0.0,20,21,991700.1214081071,23.32,38.84,19,23,0,14,0,0,14,0,36,9,0,11,12,43
112,50,2,48,0.04,20,21,991461.0854181551,23.26,39.04,19,23,2,16,0,0,16,0,32,9,0,11,12,43
113,50,0,50,0.0,20,21,991213.3582685326,23.26,39.04,19,23,0,11,0,0,11,0,39,9,0,11,12,43
114,50,0,50,0.0,20,21,990956.705081841,23.26,39.04,19,23,0,12,0,0,12,0,38,9,0,11,12,43
115,50,1,49,0.02,20,21,990690.8867866078,23.24,39.12,18,27,1,12,0,0,12,0,37,9,0,11,12,43
