run_id,traffic_seed,grid_x,grid_y,grid_z,distinct_flight_count
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,3,23,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,3,26,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,3,28,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,3,31,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,3,35,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,3,37,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,3,40,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,3,41,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,3,43,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,3,44,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,3,47,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,3,48,0,3
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,3,49,0,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,3,52,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,3,54,0,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,3,58,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,4,2,0,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,4,3,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,4,6,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,4,8,0,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,4,9,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,4,10,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,4,11,0,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,4,15,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,4,18,0,1
