global_generation,stage,stage_generation,fitness,Tdelay,Tair,ORISK,Nc,n_delay,n_battery,conflict_pairs,delta
27,stage1,27,4650574.504139812,8974.779680904972,59266.20463259383,1128.466576139228,98,6,0,58,0.9999955159665626
28,stage1,28,4650570.349235448,8974.779680904972,59266.20463259383,1128.466576139228,98,6,0,58,0.99999462176
29,stage1,29,4650565.556428775,8974.779680904972,59266.20463259383,1128.466576139228,98,6,0,58,0.9999935902659375
30,stage1,30,4650560.054933717,8974.779680904972,59266.20463259383,1128.466576139228,98,6,0,58,0.99999240625
31,stage1,31,4650553.768911165,8974.779680904972,59266.20463259383,1128.466576139228,98,6,0,58,0.9999910533903125
32,stage1,32,4650546.617294731,8974.779680904972,59266.20463259383,1128.466576139228,98,6,0,58,0.99998951424
33,stage1,33,4650538.513616501,8974.779680904972,59266.20463259383,1128.466576139228,98,6,0,58,0.9999877701896875
34,stage1,34,4650529.365832804,8974.779680904972,59266.20463259383,1128.466576139228,98,6,0,58,0.99998580143
35,stage1,35,4650519.076149955,8974.779680904972,59266.20463259383,1128.466576139228,98,6,0,58,0.9999835869140625
36,stage1,36,4650507.540850021,8974.779680904972,59266.20463259383,1128.466576139228,98,6,0,58,0.99998110432
37,stage1,37,4650494.650116578,8974.779680904972,59266.20463259383,1128.466576139228,98,6,0,58,0.9999783300134375
38,stage1,38,4650480.287860465,8974.779680904972,59266.20463259383,1128.466576139228,98,6,0,58,0.99997523901
39,stage1,39,4650464.331545547,8974.779680904972,59266.20463259383,1128.466576139228,98,6,0,58,0.9999718049378125
40,stage1,40,4650446.652014462,8974.779680904972,59266.20463259383,1128.466576139228,98,6,0,58,0.999968
41,stage1,41,4650427.113314393,8974.779680904972,59266.20463259383,1128.466576139228,98,6,0,58,0.9999637949371875
42,stage1,42,4650405.57252281,8974.779680904972,59266.20463259383,1128.466576139228,98,6,0,58,0.99995915899
43,stage1,43,4650381.879573239,8974.779680904972,59266.20463259383,1128.466576139228,98,6,0,58,0.9999540598615625
44,stage1,44,4650355.877081013,8974.779680904972,59266.20463259383,1128.466576139228,98,6,0,58,0.99994846368
