run_id,plan_a,plan_b,conflict_points
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,23,25,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,23,29,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,24,89,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,26,48,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,26,49,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,28,32,3
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,28,57,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,29,63,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,30,94,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,34,82,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,35,75,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,35,84,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,36,61,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,36,64,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,38,84,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,39,52,12
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,39,59,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,39,63,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,40,58,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,41,48,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,42,62,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,44,45,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,44,60,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,44,87,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,45,60,30
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,45,61,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,46,96,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,47,59,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,49,64,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,51,73,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,52,59,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,55,84,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,56,71,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,57,60,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,58,61,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,62,70,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,62,95,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,63,87,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,66,68,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,66,72,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,66,77,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,67,77,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,69,82,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,70,95,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,73,85,24
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,73,87,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,78,85,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,85,87,1
