flight_id,degree,weighted_degree,degree_centrality,closeness,betweenness,pagerank,collective_influence,weighted_collective_influence
27,2,2,0.020202020202020204,0.04278074866310161,0.004741290455576169,0.013044383606399479,3.0,12.0
3,2,2,0.020202020202020204,0.04972804972804973,0.0,0.011270722286991303,3.0,10.0
0,1,1,0.010101010101010102,0.05594405594405595,0.0,0.006955445754621705,0.0,10.0
59,1,1,0.010101010101010102,0.05541125541125541,0.0,0.006588293168332101,0.0,9.0
40,2,2,0.020202020202020204,0.034920634920634915,0.0020614306328592042,0.014046442721354755,2.0,8.0
8,2,2,0.020202020202020204,0.051948051948051945,0.004741290455576169,0.013939260606644896,2.0,8.0
63,2,2,0.020202020202020204,0.04581245526127416,0.004741290455576169,0.013808083852646254,2.0,8.0
13,2,2,0.020202020202020204,0.02693602693602694,0.0006184291898577612,0.013645628179544254,2.0,8.0
82,2,2,0.020202020202020204,0.033950617283950615,0.0020614306328592042,0.013513061898150002,2.0,8.0
73,2,3,0.020202020202020204,0.023088023088023088,0.0006184291898577612,0.015787686366239652,1.0,6.0
81,2,2,0.020202020202020204,0.023088023088023088,0.0006184291898577612,0.015787686366239652,1.0,6.0
14,2,2,0.020202020202020204,0.02693602693602694,0.0008245722531436817,0.015341967035557512,0.0,6.0
55,1,1,0.010101010101010102,0.03303303303303303,0.0,0.007335470140918373,0.0,5.0
6,1,1,0.010101010101010102,0.033950617283950615,0.0,0.007025977841278044,0.0,5.0
36,2,2,0.020202020202020204,0.023088023088023088,0.0006184291898577612,0.015787686366239652,1.0,4.0
99,2,2,0.020202020202020204,0.023088023088023088,0.0006184291898577612,0.015787686366239652,1.0,4.0
18,2,2,0.020202020202020204,0.04216073781291173,0.004741290455576169,0.014569086512092766,1.0,4.0
15,2,2,0.020202020202020204,0.023088023088023088,0.0,0.012312053309337854,1.0,4.0
24,2,2,0.020202020202020204,0.023088023088023088,0.0,0.012312053309337854,1.0,4.0
95,2,2,0.020202020202020204,0.02693602693602694,0.0008245722531436817,0.015341967035557512,0.0,4.0
29,1,2,0.010101010101010102,0.016161616161616165,0.0,0.00863375630340135,0.0,4.0
7,1,1,0.010101010101010102,0.03659233847913093,0.0,0.007469407921700356,0.0,4.0
23,3,3,0.030303030303030304,0.03232323232323233,0.0008245722531436817,0.018190181207710536,0.0,3.0
5,1,3,0.010101010101010102,0.01346801346801347,0.0,0.009886254583696158,0.0,3.0
1,1,1,0.010101010101010102,0.01346801346801347,0.0,0.009886254583696158,0.0,3.0
38,1,1,0.010101010101010102,0.02716049382716049,0.0,0.007895383478320214,0.0,3.0
75,1,1,0.010101010101010102,0.017957351290684626,0.0,0.007724936368909042,0.0,3.0
11,1,1,0.010101010101010102,0.026570048309178744,0.0,0.0076685878521603485,0.0,3.0
39,1,1,0.010101010101010102,0.016161616161616165,0.0,0.00863375630340135,0.0,2.0
68,1,1,0.010101010101010102,0.016161616161616165,0.0,0.00863375630340135,0.0,2.0
