run_id,optimizer_seed,generation,best_paper_fitness,best_conflict_pairs,best_conflict_points,mean_conflict_pairs,mean_conflict_points,min_conflict_points,zero_conflict_individual_count,elite_present_before_injection,elite_reinjected,elite_replacement_count_cumulative
20260913_213050_360342_A_plus_elite,9,1,1613680.8294132408,27,34,30.333333333333332,42.333333333333336,34,0,True,False,0
20260913_213050_360342_A_plus_elite,9,2,1510462.2676826743,26,32,32.857142857142854,47.857142857142854,32,0,True,False,0
20260913_213050_360342_A_plus_elite,9,3,1447923.1240694362,27,31,37.5,54.166666666666664,31,0,False,False,0
20260913_213050_360342_A_plus_elite,9,4,1447923.1237175716,29,47,38.81818181818182,57.0,39,0,False,False,0
20260913_213050_360342_A_plus_elite,9,5,1407256.3810515425,24,30,34.5,45.416666666666664,30,0,True,False,0
20260913_213050_360342_A_plus_elite,9,6,1407256.3790157244,29,63,39.416666666666664,60.083333333333336,43,0,False,False,0
20260913_213050_360342_A_plus_elite,9,7,1366816.4263850898,25,31,36.333333333333336,54.333333333333336,29,0,False,False,0
20260913_213050_360342_A_plus_elite,9,8,1366816.4196003801,27,37,33.357142857142854,45.0,32,0,False,False,0
20260913_213050_360342_A_plus_elite,9,9,1366816.4084288392,22,30,36.53846153846154,54.0,30,0,True,False,0
20260913_213050_360342_A_plus_elite,9,10,1366816.3910213674,32,35,39.30769230769231,55.46153846153846,35,0,False,False,0
20260913_213050_360342_A_plus_elite,9,11,1366816.3650697777,26,30,34.0,45.38461538461539,30,0,False,False,0
20260913_213050_360342_A_plus_elite,9,12,1366816.3277557862,28,37,38.04545454545455,55.63636363636363,34,0,False,False,0
20260913_213050_360342_A_plus_elite,9,13,1101120.6702689636,22,23,36.1875,46.375,23,0,True,False,0
20260913_213050_360342_A_plus_elite,9,14,1101120.613333872,27,49,34.42857142857143,50.714285714285715,33,0,False,False,0
20260913_213050_360342_A_plus_elite,9,15,1101120.5375880564,27,43,39.583333333333336,54.0,36,0,False,False,0
20260913_213050_360342_A_plus_elite,9,16,1101120.43871346,29,31,37.625,50.25,31,0,False,False,0
20260913_213050_360342_A_plus_elite,9,17,1101120.3117766273,21,37,35.0,47.75,27,0,True,False,0
20260913_213050_360342_A_plus_elite,9,18,1101120.1511876755,29,36,40.285714285714285,52.785714285714285,36,0,False,False,0
20260913_213050_360342_A_plus_elite,9,19,1101119.9506592688,21,25,36.095238095238095,45.476190476190474,25,0,True,False,0
20260913_213050_360342_A_plus_elite,9,20,1101119.703165591,27,31,33.6,46.6,31,0,False,False,0
20260913_213050_360342_A_plus_elite,9,21,860650.5398735605,17,18,34.26315789473684,47.21052631578947,18,0,True,False,0
