flight_id,unique_conflict_partners,conflict_point_involvement,binary_degree,multi_degree,weighted_strength,pagerank_binary,betweenness_binary,CI_binary_l1,CI_binary_l2,CI_binary_l3,CI_binary_l4,CI_multi_l1,CI_multi_l2,CI_multi_l3,CI_multi_l4,CI_weighted_l1,CI_weighted_l2,CI_weighted_l3,CI_weighted_l4
65,1,1,1,1,1,0.011806375442739074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,1,1,1,1,1,0.011806375442739074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,2,2,2,2,2,0.012017880487686365,0.006184291898577612,3.0,3.0,2.0,1.0,3.0,3.0,2.0,1.0,3.0,3.0,2.0,1.0
68,1,1,1,1,1,0.006910250377585082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,1,1,1,1,1,0.00753477258066879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,0,0,0,0,0,0.001770956316410862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,1,1,1,1,1,0.011806375442739074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,3,3,3,3,3,0.015557927246717467,0.0313337456194599,8.0,10.0,4.0,6.0,8.0,12.0,6.0,10.0,8.0,12.0,6.0,10.0
73,2,24,2,24,24,0.03172020002923699,0.11379097093382808,5.0,6.0,5.0,6.0,644.0,230.0,230.0,207.0,644.0,230.0,230.0,207.0
74,1,1,1,1,1,0.008188277873353071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,1,1,1,1,1,0.011806375442739074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,1,2,1,2,2,0.010213315404712126,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,4.0,3.0,1.0,3.0,4.0
77,2,3,2,3,3,0.014570851271517781,0.009482580911152338,3.0,5.0,2.0,4.0,8.0,10.0,4.0,10.0,8.0,10.0,4.0,10.0
78,2,3,2,3,3,0.011321201352461632,0.009482580911152338,1.0,4.0,3.0,3.0,4.0,54.0,52.0,6.0,4.0,54.0,52.0,6.0
79,0,0,0,0,0,0.001770956316410862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,1,1,1,1,1,0.011806375442739074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
