run_id,traffic_seed,plan_a,plan_b,conflict_points
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,14,15,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,15,91,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,16,62,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,17,18,24
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,17,68,5
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,17,87,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,18,68,4
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,18,87,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,19,51,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,19,58,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,19,93,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,21,29,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,21,36,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,21,71,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,22,47,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,22,63,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,22,69,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,26,36,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,26,43,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,26,82,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,26,84,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,26,92,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,27,33,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,27,51,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,28,29,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,28,58,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,30,38,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,31,44,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,32,91,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,36,57,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,39,49,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,39,94,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,39,96,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,41,97,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,42,55,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,43,60,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,43,71,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,44,52,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,44,57,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,45,52,3
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,48,58,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,48,61,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,49,75,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,49,94,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,53,61,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,55,60,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,55,81,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,56,61,3
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,57,66,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,65,67,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,68,81,16
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,70,98,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,71,79,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,72,93,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,73,89,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,74,84,9
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,75,94,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,79,84,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,80,90,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,81,87,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,82,85,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,94,96,1
