traffic_seed,environment_seed,building_map_hash,population_map_hash,risk_map_hash,environment_hash,error,generation_failures,astar_failures,runtime_sec,det_Nc,unc_Nc,conflict_edges,CI_top10_point_coverage,CI_top10_pair_coverage,continuous_conflict_ratio,route_density_gini,route_cell_reuse_p90,route_cell_reuse_max,degree_gini,max_degree,top10_degree_point_coverage,top10_conflict_point_share,top1_degree_mean,top1_conflict_point_involvement,top3_degree_mean,top3_conflict_point_involvement,top5_degree_mean,top5_conflict_point_involvement,top10_degree_mean,top10_conflict_point_involvement,degree_cv,degree_max_to_mean,calibration_score,hub_rank_score,candidate_tag
387,2025,a4eb9cdd46eb259e1795ed48c756aecaba6cd1a3b2cf8ab5374fa12fc0a484e0,4f306a7f9a118b18d48fd7d9bb27f87a01130535f64d2507476f70f1a01a19bc,0471516851a9f1ef875d4bfd826c70b57813a74ceb42ad230df578e654c6e0c6,46cecb577e1256b624e483d5e505062bee0bb0aa4445a4045552c35fff2a063d,,0,0,1.254934599994158,59,100,69,0.39,0.4202898550724637,0.39,0.5807469186337382,3.0,8,0.4469565217391305,5,0.41,0.58,5.0,20.0,5.0,51.0,4.6,66.0,3.8,88.0,0.8498983716751161,3.6231884057971016,0.6591353822213577,0.39,
448,2025,a4eb9cdd46eb259e1795ed48c756aecaba6cd1a3b2cf8ab5374fa12fc0a484e0,4f306a7f9a118b18d48fd7d9bb27f87a01130535f64d2507476f70f1a01a19bc,0471516851a9f1ef875d4bfd826c70b57813a74ceb42ad230df578e654c6e0c6,46cecb577e1256b624e483d5e505062bee0bb0aa4445a4045552c35fff2a063d,,0,0,1.3797302000020863,59,93,77,0.3978494623655914,0.3506493506493506,0.3118279569892473,0.580050418760469,3.0,8,0.4364935064935065,5,0.4408602150537634,0.4838709677419355,5.0,7.0,4.666666666666667,20.0,4.4,31.0,3.8,53.0,0.7975125775503397,3.2467532467532467,0.65968314968133,0.3978494623655914,
17,2025,a4eb9cdd46eb259e1795ed48c756aecaba6cd1a3b2cf8ab5374fa12fc0a484e0,4f306a7f9a118b18d48fd7d9bb27f87a01130535f64d2507476f70f1a01a19bc,0471516851a9f1ef875d4bfd826c70b57813a74ceb42ad230df578e654c6e0c6,46cecb577e1256b624e483d5e505062bee0bb0aa4445a4045552c35fff2a063d,,0,0,1.256397900004231,57,102,70,0.3725490196078431,0.4142857142857143,0.4509803921568627,0.5954501212409635,3.0,7,0.4774285714285713,7,0.4019607843137255,0.5294117647058824,7.0,16.0,6.0,40.0,5.0,55.0,4.0,80.0,0.931314629314664,5.0,0.6637199500970569,0.3725490196078431,
58,2025,a4eb9cdd46eb259e1795ed48c756aecaba6cd1a3b2cf8ab5374fa12fc0a484e0,4f306a7f9a118b18d48fd7d9bb27f87a01130535f64d2507476f70f1a01a19bc,0471516851a9f1ef875d4bfd826c70b57813a74ceb42ad230df578e654c6e0c6,46cecb577e1256b624e483d5e505062bee0bb0aa4445a4045552c35fff2a063d,,0,0,1.3928015999990748,64,97,76,0.4329896907216495,0.4078947368421052,0.3402061855670103,0.5888535312457639,3.0,9,0.4802631578947367,6,0.4536082474226804,0.4742268041237113,6.0,10.0,5.333333333333333,27.0,4.8,40.0,4.3,65.0,0.8898862325742588,3.947368421052632,0.6690856313497824,0.4329896907216495,
483,2025,a4eb9cdd46eb259e1795ed48c756aecaba6cd1a3b2cf8ab5374fa12fc0a484e0,4f306a7f9a118b18d48fd7d9bb27f87a01130535f64d2507476f70f1a01a19bc,0471516851a9f1ef875d4bfd826c70b57813a74ceb42ad230df578e654c6e0c6,46cecb577e1256b624e483d5e505062bee0bb0aa4445a4045552c35fff2a063d,,0,0,1.3814961000025503,61,104,86,0.4423076923076923,0.4767441860465116,0.2788461538461538,0.5963736712543358,3.0,11,0.4148837209302325,6,0.4711538461538461,0.4807692307692308,6.0,7.0,5.333333333333333,21.0,5.2,32.0,4.6,56.0,0.7803703132819775,3.488372093023256,0.6730590350153292,0.4423076923076923,
85,2025,a4eb9cdd46eb259e1795ed48c756aecaba6cd1a3b2cf8ab5374fa12fc0a484e0,4f306a7f9a118b18d48fd7d9bb27f87a01130535f64d2507476f70f1a01a19bc,0471516851a9f1ef875d4bfd826c70b57813a74ceb42ad230df578e654c6e0c6,46cecb577e1256b624e483d5e505062bee0bb0aa4445a4045552c35fff2a063d,,0,0,1.4245545000012498,65,96,77,0.4270833333333333,0.3636363636363636,0.34375,0.5828969387755102,3.0,9,0.4015584415584414,6,0.4479166666666667,0.4583333333333333,6.0,8.0,5.0,24.0,4.6,36.0,3.8,58.0,0.7596014969293381,3.896103896103896,0.7056079196986852,0.4270833333333333,
161,2025,a4eb9cdd46eb259e1795ed48c756aecaba6cd1a3b2cf8ab5374fa12fc0a484e0,4f306a7f9a118b18d48fd7d9bb27f87a01130535f64d2507476f70f1a01a19bc,0471516851a9f1ef875d4bfd826c70b57813a74ceb42ad230df578e654c6e0c6,46cecb577e1256b624e483d5e505062bee0bb0aa4445a4045552c35fff2a063d,,0,0,1.390675400005421,64,112,65,0.5267857142857143,0.4923076923076923,0.4821428571428571,0.5773922742354947,3.0,7,0.5329230769230768,5,0.5446428571428571,0.6428571428571429,5.0,24.0,4.333333333333333,61.0,4.2,86.0,3.7,114.0,0.982088102677208,3.846153846153846,0.7070810337137414,0.5267857142857143,
244,2025,a4eb9cdd46eb259e1795ed48c756aecaba6cd1a3b2cf8ab5374fa12fc0a484e0,4f306a7f9a118b18d48fd7d9bb27f87a01130535f64d2507476f70f1a01a19bc,0471516851a9f1ef875d4bfd826c70b57813a74ceb42ad230df578e654c6e0c6,46cecb577e1256b624e483d5e505062bee0bb0aa4445a4045552c35fff2a063d,,0,0,1.3971619999938412,57,88,68,0.3636363636363636,0.4117647058823529,0.3522727272727273,0.5888730803974707,3.0,7,0.5094117647058825,7,0.5568181818181818,0.5227272727272727,7.0,11.0,5.666666666666667,27.0,5.0,39.0,4.1,62.0,0.9893463642090684,5.147058823529411,0.7160407510533945,0.3636363636363636,
74,2025,a4eb9cdd46eb259e1795ed48c756aecaba6cd1a3b2cf8ab5374fa12fc0a484e0,4f306a7f9a118b18d48fd7d9bb27f87a01130535f64d2507476f70f1a01a19bc,0471516851a9f1ef875d4bfd826c70b57813a74ceb42ad230df578e654c6e0c6,46cecb577e1256b624e483d5e505062bee0bb0aa4445a4045552c35fff2a063d,,0,0,1.3391180000035092,64,112,68,0.5178571428571429,0.4264705882352941,0.5178571428571429,0.554425124679876,3.0,8,0.4901470588235295,5,0.4553571428571428,0.5446428571428571,5.0,18.0,4.666666666666667,46.0,4.4,63.0,4.0,93.0,0.9155519068396109,3.676470588235294,0.7181845135672211,0.5178571428571429,
84,2025,a4eb9cdd46eb259e1795ed48c756aecaba6cd1a3b2cf8ab5374fa12fc0a484e0,4f306a7f9a118b18d48fd7d9bb27f87a01130535f64d2507476f70f1a01a19bc,0471516851a9f1ef875d4bfd826c70b57813a74ceb42ad230df578e654c6e0c6,46cecb577e1256b624e483d5e505062bee0bb0aa4445a4045552c35fff2a063d,,0,0,1.3916099999987637,57,95,64,0.2947368421052631,0.359375,0.4421052631578947,0.5568211632685317,3.0,9,0.43703125,4,0.4947368421052631,0.4947368421052631,4.0,12.0,4.0,33.0,3.6,50.0,3.3,72.0,0.8049529295244535,3.125,0.7295585409141035,0.2947368421052631,
