traffic_seed,environment_seed,building_map_hash,population_map_hash,risk_map_hash,environment_hash,error,generation_failures,astar_failures,runtime_sec,det_Nc,unc_Nc,conflict_edges,CI_top10_point_coverage,CI_top10_pair_coverage,continuous_conflict_ratio,route_density_gini,route_cell_reuse_p90,route_cell_reuse_max,degree_gini,max_degree,top10_degree_point_coverage,top10_conflict_point_share,top1_degree_mean,top1_conflict_point_involvement,top3_degree_mean,top3_conflict_point_involvement,top5_degree_mean,top5_conflict_point_involvement,top10_degree_mean,top10_conflict_point_involvement,degree_cv,degree_max_to_mean,calibration_score,hub_rank_score,candidate_tag
472,2025,a4eb9cdd46eb259e1795ed48c756aecaba6cd1a3b2cf8ab5374fa12fc0a484e0,4f306a7f9a118b18d48fd7d9bb27f87a01130535f64d2507476f70f1a01a19bc,0471516851a9f1ef875d4bfd826c70b57813a74ceb42ad230df578e654c6e0c6,46cecb577e1256b624e483d5e505062bee0bb0aa4445a4045552c35fff2a063d,,0,0,1.3297759999986738,69,143,86,0.4195804195804196,0.313953488372093,0.5454545454545454,0.5697875485152089,3.0,8,0.3874418604651162,5,0.5174825174825175,0.4825174825174825,5.0,17.0,4.333333333333333,46.0,4.2,67.0,4.0,99.0,0.7028875004515076,2.9069767441860463,1.2543276901752505,0.4195804195804196,
473,2025,a4eb9cdd46eb259e1795ed48c756aecaba6cd1a3b2cf8ab5374fa12fc0a484e0,4f306a7f9a118b18d48fd7d9bb27f87a01130535f64d2507476f70f1a01a19bc,0471516851a9f1ef875d4bfd826c70b57813a74ceb42ad230df578e654c6e0c6,46cecb577e1256b624e483d5e505062bee0bb0aa4445a4045552c35fff2a063d,,0,0,1.340401200002816,145,194,93,0.4690721649484536,0.3655913978494624,0.5979381443298969,0.5948972680190877,3.0,11,0.37580645161290316,5,0.5,0.5927835051546392,5.0,36.0,5.0,98.0,5.0,150.0,4.6,207.0,0.6969367923913462,2.6881720430107525,3.15251572327044,0.4690721649484536,
474,2025,a4eb9cdd46eb259e1795ed48c756aecaba6cd1a3b2cf8ab5374fa12fc0a484e0,4f306a7f9a118b18d48fd7d9bb27f87a01130535f64d2507476f70f1a01a19bc,0471516851a9f1ef875d4bfd826c70b57813a74ceb42ad230df578e654c6e0c6,46cecb577e1256b624e483d5e505062bee0bb0aa4445a4045552c35fff2a063d,,0,0,1.3903586000014911,83,139,89,0.4172661870503597,0.4157303370786517,0.4748201438848921,0.5734410521632743,3.0,10,0.48449438202247186,7,0.5251798561151079,0.5323741007194245,7.0,18.0,6.333333333333333,51.0,5.8,75.0,5.1,114.0,0.897400473673952,3.932584269662921,1.4801194760080794,0.4172661870503597,
475,2025,a4eb9cdd46eb259e1795ed48c756aecaba6cd1a3b2cf8ab5374fa12fc0a484e0,4f306a7f9a118b18d48fd7d9bb27f87a01130535f64d2507476f70f1a01a19bc,0471516851a9f1ef875d4bfd826c70b57813a74ceb42ad230df578e654c6e0c6,46cecb577e1256b624e483d5e505062bee0bb0aa4445a4045552c35fff2a063d,,0,0,1.254717800002254,98,132,88,0.49242424242424243,0.32954545454545453,0.42424242424242425,0.5841932575550077,3.0,8,0.4370454545454545,7,0.5681818181818182,0.5681818181818182,7.0,28.0,6.333333333333333,73.0,5.8,92.0,4.9,119.0,0.8316442937969086,3.977272727272727,1.5975076086678888,0.49242424242424243,
476,2025,a4eb9cdd46eb259e1795ed48c756aecaba6cd1a3b2cf8ab5374fa12fc0a484e0,4f306a7f9a118b18d48fd7d9bb27f87a01130535f64d2507476f70f1a01a19bc,0471516851a9f1ef875d4bfd826c70b57813a74ceb42ad230df578e654c6e0c6,46cecb577e1256b624e483d5e505062bee0bb0aa4445a4045552c35fff2a063d,,0,0,1.4469851000030758,123,166,88,0.3313253012048193,0.3409090909090909,0.608433734939759,0.6088156831042846,3.0,11,0.3572727272727272,5,0.3253012048192771,0.5180722891566265,5.0,30.0,4.666666666666667,72.0,4.4,99.0,4.0,143.0,0.6583067435436474,2.840909090909091,2.620062176796603,0.3313253012048193,
477,2025,a4eb9cdd46eb259e1795ed48c756aecaba6cd1a3b2cf8ab5374fa12fc0a484e0,4f306a7f9a118b18d48fd7d9bb27f87a01130535f64d2507476f70f1a01a19bc,0471516851a9f1ef875d4bfd826c70b57813a74ceb42ad230df578e654c6e0c6,46cecb577e1256b624e483d5e505062bee0bb0aa4445a4045552c35fff2a063d,,0,0,1.3309809000056703,65,121,61,0.35537190082644626,0.45901639344262296,0.6363636363636364,0.5901253166847629,3.0,9,0.47918032786885245,5,0.371900826446281,0.5950413223140496,5.0,26.0,4.666666666666667,66.0,4.4,88.0,3.8,123.0,0.9387303804734694,4.098360655737705,1.0319009237242338,0.35537190082644626,
478,2025,a4eb9cdd46eb259e1795ed48c756aecaba6cd1a3b2cf8ab5374fa12fc0a484e0,4f306a7f9a118b18d48fd7d9bb27f87a01130535f64d2507476f70f1a01a19bc,0471516851a9f1ef875d4bfd826c70b57813a74ceb42ad230df578e654c6e0c6,46cecb577e1256b624e483d5e505062bee0bb0aa4445a4045552c35fff2a063d,,0,0,1.3808226000037394,131,185,88,0.2864864864864865,0.3977272727272727,0.6270270270270271,0.6129573887633267,3.0,10,0.4447727272727273,7,0.33513513513513515,0.5567567567567567,7.0,28.0,5.666666666666667,81.0,5.2,123.0,4.6,184.0,0.8238440436541754,3.977272727272727,3.022642951781252,0.2864864864864865,
479,2025,a4eb9cdd46eb259e1795ed48c756aecaba6cd1a3b2cf8ab5374fa12fc0a484e0,4f306a7f9a118b18d48fd7d9bb27f87a01130535f64d2507476f70f1a01a19bc,0471516851a9f1ef875d4bfd826c70b57813a74ceb42ad230df578e654c6e0c6,46cecb577e1256b624e483d5e505062bee0bb0aa4445a4045552c35fff2a063d,,0,0,1.5210940999968443,98,155,89,0.5161290322580645,0.43820224719101125,0.5096774193548387,0.5779606181455632,3.0,11,0.476629213483146,8,0.32903225806451614,0.5806451612903226,8.0,39.0,6.333333333333333,95.0,5.8,125.0,5.1,155.0,0.8903386667711249,4.49438202247191,1.8051419772184532,0.5161290322580645,
480,2025,a4eb9cdd46eb259e1795ed48c756aecaba6cd1a3b2cf8ab5374fa12fc0a484e0,4f306a7f9a118b18d48fd7d9bb27f87a01130535f64d2507476f70f1a01a19bc,0471516851a9f1ef875d4bfd826c70b57813a74ceb42ad230df578e654c6e0c6,46cecb577e1256b624e483d5e505062bee0bb0aa4445a4045552c35fff2a063d,,0,0,1.4373555999991368,86,162,89,0.49382716049382713,0.38202247191011235,0.5493827160493827,0.5889830203125704,3.0,9,0.4453932584269662,6,0.5987654320987654,0.5679012345679012,6.0,39.0,5.333333333333333,101.0,5.2,125.0,4.6,160.0,0.8085985325987446,3.3707865168539324,1.6786262103212977,0.49382716049382713,
481,2025,a4eb9cdd46eb259e1795ed48c756aecaba6cd1a3b2cf8ab5374fa12fc0a484e0,4f306a7f9a118b18d48fd7d9bb27f87a01130535f64d2507476f70f1a01a19bc,0471516851a9f1ef875d4bfd826c70b57813a74ceb42ad230df578e654c6e0c6,46cecb577e1256b624e483d5e505062bee0bb0aa4445a4045552c35fff2a063d,,0,0,1.4610107999978936,70,117,83,0.27350427350427353,0.37349397590361444,0.4017094017094017,0.5797645836157426,3.0,8,0.46096385542168683,5,0.3418803418803419,0.47863247863247865,5.0,14.0,5.0,39.0,5.0,57.0,4.5,83.0,0.8400105066772703,3.0120481927710845,1.1868131746335626,0.27350427350427353,
482,2025,a4eb9cdd46eb259e1795ed48c756aecaba6cd1a3b2cf8ab5374fa12fc0a484e0,4f306a7f9a118b18d48fd7d9bb27f87a01130535f64d2507476f70f1a01a19bc,0471516851a9f1ef875d4bfd826c70b57813a74ceb42ad230df578e654c6e0c6,46cecb577e1256b624e483d5e505062bee0bb0aa4445a4045552c35fff2a063d,,0,0,1.3787369999990915,86,127,75,0.2283464566929134,0.30666666666666664,0.5511811023622047,0.5662707567145883,3.0,9,0.39026666666666676,4,0.5826771653543307,0.5590551181102362,4.0,28.0,4.0,67.0,4.0,84.0,3.5,112.0,0.7149203529842406,2.6666666666666665,1.6479505484210595,0.2283464566929134,
483,2025,a4eb9cdd46eb259e1795ed48c756aecaba6cd1a3b2cf8ab5374fa12fc0a484e0,4f306a7f9a118b18d48fd7d9bb27f87a01130535f64d2507476f70f1a01a19bc,0471516851a9f1ef875d4bfd826c70b57813a74ceb42ad230df578e654c6e0c6,46cecb577e1256b624e483d5e505062bee0bb0aa4445a4045552c35fff2a063d,,0,0,1.3814961000025505,61,104,86,0.4423076923076923,0.47674418604651164,0.27884615384615385,0.5963736712543358,3.0,11,0.4148837209302325,6,0.47115384615384615,0.4807692307692308,6.0,7.0,5.333333333333333,21.0,5.2,32.0,4.6,56.0,0.7803703132819775,3.488372093023256,0.6730590350153292,0.4423076923076923,
