action_type,plan_id,old_pairs,new_pairs,old_points,new_points,accepted,rollback,runtime_ms,reason,old_target_points,new_target_points,new_pairs_created_by_action,stage,iter,segment_idx,pair,segment_points,conflict_class,matched_strategy,candidate_rank,prob_delay,prob_speed,prob_reroute,source,round,unit_id,plan_a,plan_b,strategy,actor_flight,old_global_points,new_global_points,old_global_pairs,new_global_pairs,prob_delay_after,prob_speed_after,prob_reroute_after
delay,13,36,37,42,43,False,True,7.311300000310439,rollback,1.0,0.0,2.0,stage2_independent_matching,9,0,13-59,1,crossing,delay,2,0.140625,0.85,0.009375,ADM_ref6_independent_matching,9,0,13,59,delay,13,42,43,36,37,,,
delay,13,36,37,42,44,False,True,7.376100000328734,rollback,1.0,0.0,2.0,stage2_independent_matching,9,0,13-59,1,crossing,delay,3,0.140625,0.85,0.009375,ADM_ref6_independent_matching,9,0,13,59,delay,13,42,44,36,37,,,
delay,13,36,38,42,44,False,True,8.244699999977456,rollback,1.0,0.0,3.0,stage2_independent_matching,9,0,13-59,1,crossing,delay,4,0.140625,0.85,0.009375,ADM_ref6_independent_matching,9,0,13,59,delay,13,42,44,36,38,,,
delay,13,36,38,42,44,False,True,7.482500000151049,rollback,1.0,1.0,2.0,stage2_independent_matching,9,0,13-59,1,crossing,delay,5,0.140625,0.85,0.009375,ADM_ref6_independent_matching,9,0,13,59,delay,13,42,44,36,38,,,
delay,13,36,37,42,43,False,True,8.029999999962456,rollback,1.0,1.0,1.0,stage2_independent_matching,9,0,13-59,1,crossing,delay,6,0.140625,0.85,0.009375,ADM_ref6_independent_matching,9,0,13,59,delay,13,42,43,36,37,,,
delay,59,36,38,42,44,False,True,7.476999999653344,rollback,1.0,0.0,3.0,stage2_independent_matching,9,0,13-59,1,crossing,delay,7,0.140625,0.85,0.009375,ADM_ref6_independent_matching,9,0,13,59,delay,59,42,44,36,38,,,
delay,59,36,39,42,45,False,True,7.753200000024663,rollback,1.0,0.0,4.0,stage2_independent_matching,9,0,13-59,1,crossing,delay,8,0.140625,0.85,0.009375,ADM_ref6_independent_matching,9,0,13,59,delay,59,42,45,36,39,,,
delay,59,36,39,42,45,False,True,7.431200000155513,rollback,1.0,0.0,4.0,stage2_independent_matching,9,0,13-59,1,crossing,delay,9,0.140625,0.85,0.009375,ADM_ref6_independent_matching,9,0,13,59,delay,59,42,45,36,39,,,
delay,59,36,39,42,45,False,True,7.672600000205421,rollback,1.0,1.0,3.0,stage2_independent_matching,9,0,13-59,1,crossing,delay,10,0.140625,0.85,0.009375,ADM_ref6_independent_matching,9,0,13,59,delay,59,42,45,36,39,,,
cruise_level,13,36,37,42,46,False,True,22.61350000026141,rollback,1.0,4.0,1.0,stage2_independent_matching,9,0,13-59,1,crossing,reroute,0,0.140625,0.85,0.009375,ADM_ref6_independent_matching,9,0,13,59,reroute,13,42,46,36,37,,,
cruise_level,13,36,35,42,41,True,False,7.663200000024517,pairs_decreased,1.0,0.0,0.0,stage2_independent_matching,9,0,13-59,1,crossing,reroute,1,0.140625,0.85,0.009375,ADM_ref6_independent_matching,9,0,13,59,reroute,13,42,41,36,35,0.0703125,0.425,0.5046875
speed,40,35,34,41,40,True,False,7.951399999910791,pairs_decreased,1.0,0.0,1.0,stage2_independent_matching,10,0,14-40,1,crossing,speed,0,0.0703125,0.425,0.5046875,ADM_ref6_independent_matching,10,0,14,40,speed,40,41,40,35,34,0.03515625,0.7125,0.25234375
speed,93,34,33,40,39,True,False,8.16949999989447,pairs_decreased,1.0,0.0,0.0,stage2_independent_matching,11,0,14-93,1,crossing,speed,0,0.03515625,0.7125,0.25234375,ADM_ref6_independent_matching,11,0,14,93,speed,93,40,39,34,33,0.017578125,0.85625,0.126171875
cruise_level,50,33,32,39,38,True,False,7.5681000002987275,pairs_decreased,1.0,0.0,0.0,stage2_independent_matching,12,0,50-64,1,head_to_head,reroute,0,0.0375,0.0375,0.925,ADM_ref6_independent_matching,12,0,50,64,reroute,50,39,38,33,32,0.01875,0.01875,0.9625
speed,15,32,31,38,37,True,False,8.4114999999656,pairs_decreased,1.0,0.0,0.0,stage2_independent_matching,13,0,15-95,1,crossing,speed,0,0.017578125,0.85625,0.126171875,ADM_ref6_independent_matching,13,0,15,95,speed,15,38,37,32,31,0.0087890625,0.928125,0.0630859375
speed,15,31,32,37,38,False,True,8.465500000056636,rollback,1.0,0.0,2.0,stage2_independent_matching,14,0,15-67,1,crossing,speed,0,0.0087890625,0.928125,0.0630859375,ADM_ref6_independent_matching,14,0,15,67,speed,15,37,38,31,32,,,
speed,15,31,32,37,38,False,True,8.097899999938818,rollback,1.0,0.0,2.0,stage2_independent_matching,14,0,15-67,1,crossing,speed,1,0.0087890625,0.928125,0.0630859375,ADM_ref6_independent_matching,14,0,15,67,speed,15,37,38,31,32,,,
speed,15,31,32,37,38,False,True,8.2033999997293,rollback,1.0,1.0,1.0,stage2_independent_matching,14,0,15-67,1,crossing,speed,2,0.0087890625,0.928125,0.0630859375,ADM_ref6_independent_matching,14,0,15,67,speed,15,37,38,31,32,,,
speed,67,31,30,37,36,True,False,7.6886000001650245,pairs_decreased,1.0,0.0,0.0,stage2_independent_matching,14,0,15-67,1,crossing,speed,3,0.0087890625,0.928125,0.0630859375,ADM_ref6_independent_matching,14,0,15,67,speed,67,37,36,31,30,0.00439453125,0.9640625,0.03154296875
cruise_level,16,30,29,36,35,True,False,7.6318999999784864,pairs_decreased,1.0,0.0,0.0,stage2_independent_matching,15,0,16-37,1,head_to_head,reroute,0,0.01875,0.01875,0.9625,ADM_ref6_independent_matching,15,0,16,37,reroute,16,36,35,30,29,0.009375,0.009375,0.98125
speed,54,29,28,35,33,True,False,8.146000000124332,pairs_decreased,2.0,0.0,0.0,stage2_independent_matching,16,0,27-54,1,crossing,speed,0,0.00439453125,0.9640625,0.03154296875,ADM_ref6_independent_matching,16,0,27,54,speed,54,35,33,29,28,0.002197265625,0.98203125,0.015771484375
speed,71,28,28,33,33,False,True,7.9181000000971835,rollback,1.0,0.0,1.0,stage2_independent_matching,17,0,19-71,1,crossing,speed,0,0.002197265625,0.98203125,0.015771484375,ADM_ref6_independent_matching,17,0,19,71,speed,71,33,33,28,28,,,
speed,71,28,28,33,33,False,True,13.532800000120915,rollback,1.0,1.0,0.0,stage2_independent_matching,17,0,19-71,1,crossing,speed,1,0.002197265625,0.98203125,0.015771484375,ADM_ref6_independent_matching,17,0,19,71,speed,71,33,33,28,28,,,
speed,71,28,28,33,33,False,True,20.401000000219938,rollback,1.0,1.0,0.0,stage2_independent_matching,17,0,19-71,1,crossing,speed,2,0.002197265625,0.98203125,0.015771484375,ADM_ref6_independent_matching,17,0,19,71,speed,71,33,33,28,28,,,
speed,19,28,29,33,34,False,True,8.347800000137795,rollback,1.0,1.0,1.0,stage2_independent_matching,17,0,19-71,1,crossing,speed,3,0.002197265625,0.98203125,0.015771484375,ADM_ref6_independent_matching,17,0,19,71,speed,19,33,34,28,29,,,
speed,19,28,28,33,33,False,True,8.5426999999072,rollback,1.0,1.0,0.0,stage2_independent_matching,17,0,19-71,1,crossing,speed,4,0.002197265625,0.98203125,0.015771484375,ADM_ref6_independent_matching,17,0,19,71,speed,19,33,33,28,28,,,
speed,71,28,28,33,33,False,True,8.211699999719713,rollback,1.0,1.0,0.0,stage2_independent_matching,17,0,19-71,1,crossing,speed,5,0.002197265625,0.98203125,0.015771484375,ADM_ref6_independent_matching,17,0,19,71,speed,71,33,33,28,28,,,
speed,71,28,28,33,33,False,True,8.553399999982503,rollback,1.0,1.0,0.0,stage2_independent_matching,17,0,19-71,1,crossing,speed,6,0.002197265625,0.98203125,0.015771484375,ADM_ref6_independent_matching,17,0,19,71,speed,71,33,33,28,28,,,
speed,19,28,31,33,36,False,True,8.31049999987954,rollback,1.0,1.0,3.0,stage2_independent_matching,17,0,19-71,1,crossing,speed,7,0.002197265625,0.98203125,0.015771484375,ADM_ref6_independent_matching,17,0,19,71,speed,19,33,36,28,31,,,
speed,19,28,31,33,36,False,True,8.425399999850924,rollback,1.0,1.0,3.0,stage2_independent_matching,17,0,19-71,1,crossing,speed,8,0.002197265625,0.98203125,0.015771484375,ADM_ref6_independent_matching,17,0,19,71,speed,19,33,36,28,31,,,
speed,19,28,30,33,35,False,True,8.317199999964942,rollback,1.0,1.0,2.0,stage2_independent_matching,17,0,19-71,1,crossing,speed,9,0.002197265625,0.98203125,0.015771484375,ADM_ref6_independent_matching,17,0,19,71,speed,19,33,35,28,30,,,
cruise_level,19,28,27,33,32,True,False,8.574899999985064,pairs_decreased,1.0,0.0,0.0,stage2_independent_matching,17,0,19-71,1,crossing,reroute,0,0.002197265625,0.98203125,0.015771484375,ADM_ref6_independent_matching,17,0,19,71,reroute,19,33,32,28,27,0.0010986328125,0.491015625,0.5078857421875
cruise_level,39,27,25,32,30,True,False,8.274799999981042,pairs_decreased,1.0,0.0,0.0,stage2_independent_matching,18,0,39-52,1,head_to_head,reroute,0,0.009375,0.009375,0.98125,ADM_ref6_independent_matching,18,0,39,52,reroute,39,32,30,27,25,0.0046875,0.0046875,0.990625
speed,32,25,24,30,29,True,False,8.23709999986022,pairs_decreased,1.0,0.0,0.0,stage2_independent_matching,19,0,22-32,1,crossing,speed,0,0.0010986328125,0.491015625,0.5078857421875,ADM_ref6_independent_matching,19,0,22,32,speed,32,30,29,25,24,0.00054931640625,0.7455078125,0.25394287109375
speed,84,24,23,29,28,True,False,9.711499999866646,pairs_decreased,1.0,0.0,0.0,stage2_independent_matching,20,0,22-84,1,crossing,speed,0,0.00054931640625,0.7455078125,0.25394287109375,ADM_ref6_independent_matching,20,0,22,84,speed,84,29,28,24,23,0.000274658203125,0.87275390625,0.126971435546875
cruise_level,23,23,22,28,27,True,False,20.714400000088062,pairs_decreased,1.0,0.0,0.0,stage2_independent_matching,21,0,23-35,1,head_to_head,reroute,0,0.0046875,0.0046875,0.990625,ADM_ref6_independent_matching,21,0,23,35,reroute,23,28,27,23,22,0.00234375,0.00234375,0.9953125
cruise_level,24,22,21,27,26,True,False,7.917400000224006,pairs_decreased,1.0,0.0,0.0,stage2_independent_matching,22,0,24-94,1,head_to_head,reroute,0,0.00234375,0.00234375,0.9953125,ADM_ref6_independent_matching,22,0,24,94,reroute,24,27,26,22,21,0.001171875,0.001171875,0.99765625
delay,,,,,,False,True,0.0,no_candidate,,,,stage2_independent_matching,23,0,25-60,1,cluster,delay,-1,0.4375,0.5375,0.025,ADM_ref6_independent_matching,23,0,25,60,delay,,,,,,,,
cruise_level,25,21,20,26,24,True,False,7.957299999816314,pairs_decreased,2.0,0.0,0.0,stage2_independent_matching,23,0,25-60,1,cluster,reroute,0,0.4375,0.5375,0.025,ADM_ref6_independent_matching,23,0,25,60,reroute,25,26,24,21,20,0.21875,0.26875,0.5125
speed,45,20,20,24,24,True,False,8.042400000249472,soft_decreased,1.0,1.0,0.0,stage2_independent_matching,24,0,28-45,1,crossing,speed,0,0.000274658203125,0.87275390625,0.126971435546875,ADM_ref6_independent_matching,24,0,28,45,speed,45,24,24,20,20,0.0001373291015625,0.936376953125,0.0634857177734375
speed,45,20,20,24,24,True,False,7.8521999998883985,soft_decreased,1.0,1.0,0.0,stage2_independent_matching,25,0,28-45,1,crossing,speed,0,0.0001373291015625,0.936376953125,0.0634857177734375,ADM_ref6_independent_matching,25,0,28,45,speed,45,24,24,20,20,6.866455078125e-05,0.9681884765625,0.03174285888671875
speed,45,20,20,24,24,True,False,7.998200000201905,soft_decreased,1.0,0.0,1.0,stage2_independent_matching,26,0,28-45,1,crossing,speed,0,6.866455078125e-05,0.9681884765625,0.03174285888671875,ADM_ref6_independent_matching,26,0,28,45,speed,45,24,24,20,20,3.4332275390625e-05,0.98409423828125,0.015871429443359376
speed,7,20,20,24,24,False,True,7.707900000241352,rollback,1.0,1.0,0.0,stage2_independent_matching,27,0,7-45,1,crossing,speed,0,3.4332275390625e-05,0.98409423828125,0.015871429443359376,ADM_ref6_independent_matching,27,0,7,45,speed,7,24,24,20,20,,,
speed,7,20,20,24,24,False,True,7.954100000006292,rollback,1.0,1.0,0.0,stage2_independent_matching,27,0,7-45,1,crossing,speed,1,3.4332275390625e-05,0.98409423828125,0.015871429443359376,ADM_ref6_independent_matching,27,0,7,45,speed,7,24,24,20,20,,,
speed,7,20,20,24,24,False,True,7.787900000039372,rollback,1.0,1.0,0.0,stage2_independent_matching,27,0,7-45,1,crossing,speed,2,3.4332275390625e-05,0.98409423828125,0.015871429443359376,ADM_ref6_independent_matching,27,0,7,45,speed,7,24,24,20,20,,,
speed,45,20,20,24,24,False,True,8.017300000119576,rollback,1.0,0.0,1.0,stage2_independent_matching,27,0,7-45,1,crossing,speed,3,3.4332275390625e-05,0.98409423828125,0.015871429443359376,ADM_ref6_independent_matching,27,0,7,45,speed,45,24,24,20,20,,,
speed,45,20,20,24,24,False,True,7.875499999954627,rollback,1.0,1.0,0.0,stage2_independent_matching,27,0,7-45,1,crossing,speed,4,3.4332275390625e-05,0.98409423828125,0.015871429443359376,ADM_ref6_independent_matching,27,0,7,45,speed,45,24,24,20,20,,,
speed,7,20,20,24,24,False,True,7.985700000062934,rollback,1.0,1.0,0.0,stage2_independent_matching,27,0,7-45,1,crossing,speed,5,3.4332275390625e-05,0.98409423828125,0.015871429443359376,ADM_ref6_independent_matching,27,0,7,45,speed,7,24,24,20,20,,,
speed,7,20,20,24,24,False,True,12.356799999906798,rollback,1.0,1.0,0.0,stage2_independent_matching,27,0,7-45,1,crossing,speed,6,3.4332275390625e-05,0.98409423828125,0.015871429443359376,ADM_ref6_independent_matching,27,0,7,45,speed,7,24,24,20,20,,,
speed,45,20,20,24,24,True,False,17.854199999874254,soft_decreased,1.0,1.0,0.0,stage2_independent_matching,27,0,7-45,1,crossing,speed,7,3.4332275390625e-05,0.98409423828125,0.015871429443359376,ADM_ref6_independent_matching,27,0,7,45,speed,45,24,24,20,20,1.71661376953125e-05,0.992047119140625,0.007935714721679688
speed,7,20,20,24,24,False,True,8.43910000003234,rollback,1.0,1.0,0.0,stage2_independent_matching,28,0,7-45,1,crossing,speed,0,1.71661376953125e-05,0.992047119140625,0.007935714721679688,ADM_ref6_independent_matching,28,0,7,45,speed,7,24,24,20,20,,,
speed,7,20,20,24,24,False,True,8.56659999999465,rollback,1.0,1.0,0.0,stage2_independent_matching,28,0,7-45,1,crossing,speed,1,1.71661376953125e-05,0.992047119140625,0.007935714721679688,ADM_ref6_independent_matching,28,0,7,45,speed,7,24,24,20,20,,,
