plan_a,plan_b,cell_x,cell_y,cell_z,idx_a,idx_b,time_a,time_b,time_gap,time_diff,required_gap,conflict_type
7,10,11,28,1,24,25,1294.1617501870837,1300.2918832577875,-6.130133070703778,6.130133070703778,47.13287126410846,uncertain
7,10,11,27,1,25,26,1304.1617501870837,1310.2918832577875,-6.130133070703778,6.130133070703778,47.52486406101647,uncertain
7,10,10,26,1,26,27,1318.3038858108148,1324.4340188815186,-6.130133070703778,6.130133070703778,48.079225590756344,uncertain
7,10,9,25,1,27,28,1332.4460214345459,1338.5761545052496,-6.130133070703778,6.130133070703778,48.63358712049622,uncertain
7,10,8,23,1,29,30,1356.588157058277,1362.7182901289807,-6.130133070703778,6.130133070703778,49.57994144714411,uncertain
7,10,8,22,1,30,31,1366.588157058277,1372.7182901289807,-6.130133070703778,6.130133070703778,49.97193424405212,uncertain
7,10,8,21,1,31,32,1376.588157058277,1382.7182901289807,-6.130133070703778,6.130133070703778,50.36392704096013,uncertain
7,10,8,20,1,32,33,1386.588157058277,1392.7182901289807,-6.130133070703778,6.130133070703778,50.75591983786814,uncertain
7,10,8,19,1,33,34,1396.588157058277,1402.7182901289807,-6.130133070703778,6.130133070703778,51.14791263477615,uncertain
7,10,8,18,1,34,35,1406.588157058277,1412.7182901289807,-6.130133070703778,6.130133070703778,51.53990543168416,uncertain
7,10,8,17,1,35,36,1416.588157058277,1422.7182901289807,-6.130133070703778,6.130133070703778,51.931898228592175,uncertain
7,10,8,16,1,36,37,1426.588157058277,1432.7182901289807,-6.130133070703778,6.130133070703778,52.32389102550018,uncertain
7,10,8,15,1,37,38,1436.588157058277,1442.7182901289807,-6.130133070703778,6.130133070703778,52.715883822408195,uncertain
7,10,8,14,1,38,39,1446.588157058277,1452.7182901289807,-6.130133070703778,6.130133070703778,53.1078766193162,uncertain
8,57,17,24,1,41,18,519.8760176748217,554.2097280178948,-34.33371034307311,34.33371034307311,48.50921890863353,uncertain
57,65,11,11,0,5,11,390.6323365191367,384.8679822628127,5.764354256323998,5.764354256323998,38.27363584058315,uncertain
57,65,11,12,0,6,12,400.6323365191367,394.8679822628127,5.764354256323998,5.764354256323998,38.66562863749115,uncertain
57,65,11,13,1,7,13,411.07264302804725,405.30828877172326,5.764354256323998,5.764354256323998,39.07488113239163,uncertain
57,65,11,14,1,8,14,421.07264302804725,415.30828877172326,5.764354256323998,5.764354256323998,39.466873929299645,uncertain
57,65,12,15,1,9,15,435.2147786517782,429.4504243954542,5.764354256323998,5.764354256323998,40.02123545903952,uncertain
57,65,13,16,1,10,16,449.35691427550915,443.59256001918516,5.764354256323998,5.764354256323998,40.57559698877939,uncertain
57,65,14,17,1,11,17,463.4990498992401,457.7346956429161,5.764354256323998,5.764354256323998,41.12995851851926,uncertain
57,65,14,18,1,12,18,473.4990498992401,467.7346956429161,5.764354256323998,5.764354256323998,41.521951315427266,uncertain
57,65,15,19,1,13,19,487.64118552297106,481.87683126664706,5.764354256323998,5.764354256323998,42.07631284516714,uncertain
57,65,16,20,1,14,20,501.783321146702,496.018966890378,5.764354256323998,5.764354256323998,42.63067437490701,uncertain
57,65,16,22,1,16,22,530.0675923941639,516.018966890378,14.048625503785843,14.048625503785843,43.57702870155489,uncertain
57,65,16,23,1,17,23,540.0675923941639,526.018966890378,14.048625503785843,14.048625503785843,43.9690214984629,uncertain
37,57,20,30,1,20,24,595.4732429148407,634.9204061365496,-39.44716322170882,39.44716322170882,45.48120448243958,uncertain
11,43,44,18,0,13,16,692.4907458319415,713.110191207083,-20.61944537514148,20.61944537514148,41.87698578389231,uncertain
11,43,43,17,0,14,15,706.6328814556724,698.968055583352,7.664825872320421,7.664825872320421,41.87698578389231,uncertain
11,43,42,16,0,15,14,720.7750170794034,684.825919959621,35.94909711978232,35.94909711978232,41.87698578389231,uncertain
11,72,38,12,0,19,34,777.3435595743272,736.5807534146146,40.76280615971257,40.76280615971257,48.12340230869111,uncertain
12,31,19,23,0,40,18,1487.4639804299118,1451.8215479698706,35.642432460041164,35.642432460041164,48.61823837026812,uncertain
31,39,17,24,0,16,33,1427.6794123461395,1450.8517450936502,-23.17233274751061,23.17233274751061,46.85231051637959,uncertain
22,89,31,31,1,29,26,1514.644076803465,1529.262907159838,-14.61883035637311,14.61883035637311,48.648384910905996,uncertain
13,85,35,26,1,31,29,1071.42592411652,1098.7899678857361,-27.364043769216096,27.364043769216096,50.18432158526042,uncertain
13,85,35,25,1,32,28,1081.42592411652,1088.7899678857361,-7.364043769216096,7.364043769216096,50.18432158526042,uncertain
13,73,45,10,1,47,36,1273.7278933716516,1325.0812534894844,-51.353360117832835,51.353360117832835,56.033120076003996,uncertain
14,54,41,19,0,12,11,1398.9309382684805,1373.664641082753,25.26629718572758,25.26629718572758,39.97034809542494,uncertain
14,81,43,29,0,22,9,1515.4994807634048,1481.2744399942799,34.22504076912492,34.22504076912492,41.86305674872071,uncertain
41,96,45,27,0,13,15,546.6413247411632,579.3097363190946,-32.66841157793135,32.66841157793135,41.43743628619051,uncertain
15,58,46,45,0,41,2,569.3416649662747,611.6477349105656,-42.306069944290925,42.306069944290925,44.05264479733687,uncertain
15,58,46,46,0,42,1,579.3416649662747,601.6477349105656,-22.306069944290925,22.306069944290925,44.05264479733687,uncertain
18,45,43,28,1,13,42,578.4123591049643,606.2993774361904,-27.88701833122616,27.88701833122616,47.01482360734299,uncertain
16,70,35,20,1,17,19,1595.764330749481,1611.0660920299197,-15.301761280438768,15.301761280438768,43.90360231777113,uncertain
16,22,32,17,1,20,43,1638.190737620674,1667.0704836746581,-28.879746053984036,28.879746053984036,50.36392704096015,uncertain
47,67,41,8,0,45,36,589.676083339051,549.2238962809572,40.45218705809384,40.45218705809384,53.936038931066975,uncertain
17,18,32,17,0,15,2,392.5154843406243,421.90477723071376,-29.38929289008945,29.38929289008945,38.63200097186901,uncertain
18,93,47,33,1,18,47,645.6102949420281,690.5620123631496,-44.95171742112154,44.95171742112154,49.72024468003616,uncertain
19,81,32,40,0,16,20,1619.7049131434133,1636.8379318553216,-17.133018711908335,17.133018711908335,43.167776206654466,uncertain
19,59,31,37,1,19,31,1654.2873552760548,1687.408278013922,-33.120922737867204,33.120922737867204,46.81955160599554,uncertain
22,89,30,30,1,30,27,1528.786212427196,1543.4050427835691,-14.61883035637311,14.61883035637311,49.20274644064587,uncertain
22,70,32,23,1,37,22,1607.0704836746581,1653.4924989011129,-46.42201522645473,46.42201522645473,49.6857975792141,uncertain
