run_id,seed,conflict_points_uncertain,conflict_points_deterministic,conflict_pairs,network_edges,mean_conflict_points_per_edge,median_conflict_points_per_edge,max_conflict_points_per_edge,active_conflict_flights,isolated_flights,mean_degree,max_degree,degree_std,degree_gini,largest_connected_component_size,largest_connected_component_ratio,top10_ci_point_coverage,top10_ci_pair_coverage,top10_degree_point_coverage,top1_conflict_point_share,top5_conflict_point_share,top10_conflict_point_share,continuous_conflict_segments,continuous_conflict_points,continuous_conflict_point_ratio,raw_conflict_events,unique_spatial_conflict_points,same_pair_same_cell_multiple_index_count,same_pair_same_cell_multiple_index_groups,runtime,deterministic_Nc,uncertain_Nc,edges,CI_top10_point_coverage,CI_top10_pair_coverage,continuous_ratio,scene_mode,calibration_score
20260912_181037_595_paper_strict_random_initial_network_seed2020_f77083bb_scene2030,2030,154,108,88,88,1.75,1.0,40,74,26,1.76,7,1.5628179676469043,0.4798863636363637,60,0.6,0.2987012987012987,0.36363636363636365,0.36363636363636365,0.2662337662337662,0.45454545454545453,0.6038961038961039,14,79,0.512987012987013,154,154,0,0,1.4435042000004614,108,154,88,0.2987012987012987,0.36363636363636365,0.512987012987013,paper_strict_random,2.1307871276748926
20260912_181037_595_paper_strict_random_initial_network_seed2020_f77083bb_scene2031,2031,149,117,87,87,1.7126436781609196,1.0,28,79,21,1.74,7,1.5913516267626082,0.47931034482758617,60,0.6,0.6442953020134228,0.45977011494252873,0.5234899328859061,0.22818791946308725,0.46308724832214765,0.5838926174496645,13,74,0.4966442953020134,149,149,0,0,1.373491300000751,117,149,87,0.6442953020134228,0.45977011494252873,0.4966442953020134,paper_strict_random,1.9034580533649084
20260912_181037_595_paper_strict_random_initial_network_seed2020_f77083bb_scene2032,2032,202,129,88,88,2.2954545454545454,1.0,33,83,17,1.76,6,1.3124023773218334,0.405,60,0.6,0.43564356435643564,0.36363636363636365,0.6435643564356436,0.19801980198019803,0.42574257425742573,0.6138613861386139,25,135,0.6683168316831684,202,202,0,0,1.3366165999977966,129,202,88,0.43564356435643564,0.36363636363636365,0.6683168316831684,paper_strict_random,2.8849166379388373
20260912_181037_595_paper_strict_random_initial_network_seed2020_f77083bb_scene2033,2033,223,162,83,83,2.6867469879518073,1.0,28,78,22,1.66,5,1.1850738373620437,0.39240963855421684,76,0.76,0.4260089686098655,0.3493975903614458,0.5560538116591929,0.16591928251121077,0.3991031390134529,0.5605381165919282,21,158,0.7085201793721974,223,223,0,0,1.3917852999984461,162,223,83,0.4260089686098655,0.3493975903614458,0.7085201793721974,paper_strict_random,3.7336875884801954
20260912_181037_595_paper_strict_random_initial_network_seed2020_f77083bb_scene2034,2034,125,77,71,71,1.7605633802816902,1.0,15,75,25,1.42,5,1.1504781614615724,0.44352112676056343,58,0.58,0.304,0.38028169014084506,0.36,0.12,0.28,0.464,24,76,0.608,125,125,0,0,1.410132099998009,77,125,71,0.304,0.38028169014084506,0.608,paper_strict_random,1.2416136938338844
20260912_181037_595_paper_strict_random_initial_network_seed2020_f77083bb_scene2035,2035,138,94,91,91,1.5164835164835164,1.0,16,82,18,1.82,5,1.3295111883696202,0.40648351648351655,67,0.67,0.36231884057971014,0.3516483516483517,0.34057971014492755,0.13768115942028986,0.2971014492753623,0.4855072463768116,12,57,0.41304347826086957,138,138,0,0,1.3969997999993211,94,138,91,0.36231884057971014,0.3516483516483517,0.41304347826086957,paper_strict_random,1.6380701887920075
20260912_181037_595_paper_strict_random_initial_network_seed2020_f77083bb_scene2036,2036,206,133,112,112,1.8392857142857142,1.0,28,87,13,2.24,7,1.6255460620972881,0.39937500000000004,78,0.78,0.32038834951456313,0.3392857142857143,0.3155339805825243,0.16019417475728157,0.3106796116504854,0.4854368932038835,29,120,0.5825242718446602,206,206,0,0,1.1134472000012465,133,206,112,0.32038834951456313,0.3392857142857143,0.5825242718446602,paper_strict_random,3.1168806642959797
20260912_181037_595_paper_strict_random_initial_network_seed2020_f77083bb_scene2037,2037,180,105,90,90,2.0,1.0,30,75,25,1.8,7,1.624807680927192,0.48911111111111105,60,0.6,0.48333333333333334,0.4777777777777778,0.4722222222222222,0.18888888888888888,0.4222222222222222,0.5666666666666667,18,107,0.5944444444444444,180,180,0,0,1.1896106999993208,105,180,90,0.48333333333333334,0.4777777777777778,0.5944444444444444,paper_strict_random,2.1575925565713545
20260912_181037_595_paper_strict_random_initial_network_seed2020_f77083bb_scene2038,2038,184,111,93,93,1.978494623655914,1.0,30,78,22,1.86,8,1.5812653161313568,0.45688172043010744,65,0.65,0.33152173913043476,0.3870967741935484,0.391304347826087,0.17391304347826086,0.42934782608695654,0.5706521739130435,14,103,0.5597826086956522,184,184,0,0,1.1554297000002407,111,184,93,0.33152173913043476,0.3870967741935484,0.5597826086956522,paper_strict_random,2.4638488113461263
20260912_181037_595_paper_strict_random_initial_network_seed2020_f77083bb_scene2039,2039,166,88,78,78,2.128205128205128,1.0,25,75,25,1.56,5,1.2753038853543888,0.45141025641025645,59,0.59,0.3614457831325301,0.3974358974358974,0.35542168674698793,0.16265060240963855,0.43373493975903615,0.6024096385542169,15,103,0.6204819277108434,166,166,0,0,1.1414116000014474,88,166,78,0.3614457831325301,0.3974358974358974,0.6204819277108434,paper_strict_random,1.814395492883809
