run_id,plan_a,plan_b,conflict_points
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,18,45,1
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,18,50,2
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,19,20,1
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,19,42,1
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,20,88,1
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,21,32,4
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,21,91,1
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,22,53,1
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,22,57,1
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,23,92,1
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,25,44,4
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,25,68,1
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,27,53,1
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,27,94,1
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,28,91,1
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,31,90,1
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,31,94,1
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,31,99,1
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,32,98,1
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,36,54,2
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,36,91,1
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,37,43,9
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,37,54,1
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,37,55,1
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,37,67,1
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,39,45,1
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,39,64,1
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,39,71,1
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,39,81,1
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,39,92,1
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,40,70,1
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,41,74,1
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,42,56,1
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,43,68,1
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,45,63,1
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,45,94,1
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,46,50,1
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,46,92,4
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,47,81,1
