global_generation,stage,stage_generation,fitness,Tdelay,Tair,ORISK,Nc,n_delay,n_battery,delta
53,stage1,53,2641743.767723917,7875.712055032811,58885.59598158426,757.6201890126889,56,6,0,0.9998693139084375
54,stage1,54,2641709.992510417,7875.712055032811,58885.59598158426,757.6201890126889,56,6,0,0.99985651093
55,stage1,55,2641673.6205905257,7875.712055032811,58885.59598158426,757.6201890126889,56,6,0,0.9998427236328125
56,stage1,56,2641634.5050317263,7875.712055032811,58885.59598158426,757.6201890126889,56,6,0,0.99982789632
57,stage1,57,2641592.493460473,7875.712055032811,58885.59598158426,757.6201890126889,56,6,0,0.9998119712321875
58,stage1,58,2641547.427963264,7875.712055032811,58885.59598158426,757.6201890126889,56,6,0,0.99979488851
59,stage1,59,2641499.1449877108,7875.712055032811,58885.59598158426,757.6201890126889,56,6,0,0.9997765861565625
60,stage1,60,2641447.4752436127,7875.712055032811,58885.59598158426,757.6201890126889,56,6,0,0.999757
61,stage1,61,2592853.1919456003,8147.337046511728,58852.520524745625,757.6201890126889,55,6,0,0.9997360636559375
62,stage1,62,2592795.3029996646,8147.337046511728,58852.520524745625,757.6201890126889,55,6,0,0.99971370849
63,stage1,63,2592733.5563460463,8147.337046511728,58852.520524745625,757.6201890126889,55,6,0,0.9996898635803125
64,stage1,64,2592667.762311162,8147.337046511728,58852.520524745625,757.6201890126889,55,6,0,0.99966445568
65,stage1,65,2592597.7251037126,8147.337046511728,58852.520524745625,757.6201890126889,55,6,0,0.9996374091796875
66,stage1,66,2592523.24271757,8147.337046511728,58852.520524745625,757.6201890126889,55,6,0,0.99960864607
67,stage1,67,2592444.1068346747,8147.337046511728,58852.520524745625,757.6201890126889,55,6,0,0.9995780859040625
68,stage1,68,2592360.1027279273,8147.337046511728,58852.520524745625,757.6201890126889,55,6,0,0.99954564576
69,stage1,69,2592271.009164082,8147.337046511728,58852.520524745625,757.6201890126889,55,6,0,0.9995112402034375
70,stage1,70,2592176.59830664,8147.337046511728,58852.520524745625,757.6201890126889,55,6,0,0.99947478125
71,stage1,71,2592076.6356187444,8147.337046511728,58852.520524745625,757.6201890126889,55,6,0,0.9994361783278125
72,stage1,72,2591970.8797660707,8147.337046511728,58852.520524745625,757.6201890126889,55,6,0,0.99939533824
73,stage1,73,2591859.082519722,8147.337046511728,58852.520524745625,757.6201890126889,55,6,0,0.9993521651271875
74,stage1,74,2591740.9886591234,8147.337046511728,58852.520524745625,757.6201890126889,55,6,0,0.99930656043
75,stage1,75,2591616.3358749114,8147.337046511728,58852.520524745625,757.6201890126889,55,6,0,0.9992584228515625
76,stage1,76,2591484.854671831,8147.337046511728,58852.520524745625,757.6201890126889,55,6,0,0.99920764832
77,stage1,77,2591346.268271629,8147.337046511728,58852.520524745625,757.6201890126889,55,6,0,0.9991541299509376
78,stage1,78,2591200.2925159424,8147.337046511728,58852.520524745625,757.6201890126889,55,6,0,0.99909775801
