run_id,conflict_id,plan_a,plan_b,cell_x,cell_y,cell_z,P_schedule,P_speed,P_reroute,sampled_strategy,actor_gene,selected_actor,stage2_generation,record_type
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,98,70,87,24,28,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,schedule,1.039667794374779,87,1,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,99,76,77,40,20,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,schedule,1.020249148620806,77,1,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,100,78,97,48,15,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,reroute,1.0006385668633015,97,1,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,101,95,99,28,59,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,schedule,0.9808361455643961,95,1,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,0,0,64,48,22,2,0.6666666666666667,0.16666666666666669,0.16666666666666669,schedule,1.8292249014868085,64,2,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,1,1,96,56,25,1,0.16666666666666666,0.16666666666666666,0.6666666666666666,reroute,1.8292249014868085,96,2,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,2,1,96,55,24,1,0.16666666666666669,0.6666666666666667,0.16666666666666669,speed,1.8292249014868085,96,2,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,3,1,85,56,0,1,0.6666666666666667,0.16666666666666669,0.16666666666666669,schedule,1.8292249014868085,85,2,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,4,38,40,33,31,2,0.6666666666666667,0.16666666666666669,0.16666666666666669,reroute,1.8292249014868085,40,2,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,5,2,53,23,31,2,0.6666666666666667,0.16666666666666669,0.16666666666666669,speed,1.8292249014868085,53,2,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,6,2,53,22,30,2,0.16666666666666669,0.6666666666666667,0.16666666666666669,reroute,1.8292249014868085,53,2,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,7,2,53,21,29,2,0.16666666666666669,0.6666666666666667,0.16666666666666669,speed,1.8292249014868085,53,2,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,8,2,26,16,29,2,0.6666666666666667,0.16666666666666669,0.16666666666666669,speed,1.8292249014868085,26,2,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,9,69,92,32,25,1,0.6666666666666667,0.16666666666666669,0.16666666666666669,schedule,1.8292249014868085,92,2,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,10,11,54,39,53,1,0.16666666666666669,0.6666666666666667,0.16666666666666669,schedule,1.8292249014868085,54,2,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,11,52,77,19,21,2,0.16666666666666669,0.6666666666666667,0.16666666666666669,speed,1.8292249014868085,77,2,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,12,4,95,25,16,2,0.16666666666666669,0.6666666666666667,0.16666666666666669,schedule,1.8292249014868085,95,2,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,13,5,85,49,1,1,0.6666666666666667,0.16666666666666669,0.16666666666666669,speed,1.8292249014868085,85,2,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,14,5,85,48,1,1,0.6666666666666667,0.16666666666666669,0.16666666666666669,schedule,1.8292249014868085,85,2,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,15,5,85,47,1,1,0.16666666666666666,0.16666666666666666,0.6666666666666666,reroute,1.8292249014868085,85,2,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,16,5,85,46,1,1,0.16666666666666669,0.6666666666666667,0.16666666666666669,speed,1.8292249014868085,85,2,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,17,6,92,17,51,2,0.6666666666666667,0.16666666666666669,0.16666666666666669,schedule,1.8292249014868085,92,2,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,18,31,32,36,45,2,0.16666666666666666,0.16666666666666666,0.6666666666666666,schedule,1.8292249014868085,32,2,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,19,7,27,35,46,2,0.16666666666666666,0.16666666666666666,0.6666666666666666,reroute,1.8292249014868085,27,2,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,20,8,30,28,54,1,0.16666666666666669,0.6666666666666667,0.16666666666666669,speed,1.8292249014868085,30,2,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,21,8,56,13,38,2,0.6666666666666667,0.16666666666666669,0.16666666666666669,schedule,1.8292249014868085,56,2,generation_best
