run_id,global_generation,stage,stage_generation,fitness,Nc,Tdelay,Tair,ORISK,delta,n_delay,n_battery
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,12,stage1,12,4900031.346439982,103,3375.4561962510434,59426.78757214501,1138.494747440336,0.99992037376,4,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,13,stage1,13,4899839.454273636,103,3375.4561962510434,59426.78757214501,1138.494747440336,0.99988118624,4,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,14,stage1,14,4899578.505936177,103,3375.4561962510434,59426.78757214501,1138.494747440336,0.99982789632,4,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,15,stage1,15,4899231.3431549985,103,3375.4561962510434,59426.78757214501,1138.494747440336,0.999757,4,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,16,stage1,16,4898778.175155397,103,3375.4561962510434,59426.78757214501,1138.494747440336,0.99966445568,4,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,17,stage1,17,4898196.390624708,103,3375.4561962510434,59426.78757214501,1138.494747440336,0.99954564576,4,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,18,stage1,18,4897460.369676437,103,3375.4561962510434,59426.78757214501,1138.494747440336,0.99939533824,4,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,19,stage1,19,4896541.295814402,103,3375.4561962510434,59426.78757214501,1138.494747440336,0.99920764832,4,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,20,stage1,20,4895406.967896867,103,3375.4561962510434,59426.78757214501,1138.494747440336,0.998976,4,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,21,stage1,21,4894021.612100669,103,3375.4561962510434,59426.78757214501,1138.494747440336,0.99869308768,4,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,22,stage1,22,4892345.693885374,103,3375.4561962510434,59426.78757214501,1138.494747440336,0.99835083776,4,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,23,stage1,23,4890335.7299573915,103,3375.4561962510434,59426.78757214501,1138.494747440336,0.99794037024,4,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,24,stage1,24,4887944.10023412,103,3375.4561962510434,59426.78757214501,1138.494747440336,0.99745196032,4,0
