run_id,generation,conflict_id,P_schedule,P_speed,P_reroute
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,0,96,0.3333333333333333,0.3333333333333333,0.3333333333333333
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,0,97,0.3333333333333333,0.3333333333333333,0.3333333333333333
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,0,98,0.3333333333333333,0.3333333333333333,0.3333333333333333
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,0,99,0.3333333333333333,0.3333333333333333,0.3333333333333333
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,0,100,0.3333333333333333,0.3333333333333333,0.3333333333333333
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,0,101,0.3333333333333333,0.3333333333333333,0.3333333333333333
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,1,0,0.6666666666666667,0.16666666666666669,0.16666666666666669
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,1,1,0.16666666666666666,0.16666666666666666,0.6666666666666666
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,1,2,0.16666666666666669,0.6666666666666667,0.16666666666666669
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,1,3,0.6666666666666667,0.16666666666666669,0.16666666666666669
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,1,4,0.6666666666666667,0.16666666666666669,0.16666666666666669
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,1,5,0.6666666666666667,0.16666666666666669,0.16666666666666669
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,1,6,0.16666666666666669,0.6666666666666667,0.16666666666666669
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,1,7,0.16666666666666669,0.6666666666666667,0.16666666666666669
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,1,8,0.6666666666666667,0.16666666666666669,0.16666666666666669
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,1,9,0.6666666666666667,0.16666666666666669,0.16666666666666669
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,1,10,0.16666666666666669,0.6666666666666667,0.16666666666666669
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,1,11,0.16666666666666669,0.6666666666666667,0.16666666666666669
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,1,12,0.16666666666666669,0.6666666666666667,0.16666666666666669
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,1,13,0.6666666666666667,0.16666666666666669,0.16666666666666669
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,1,14,0.6666666666666667,0.16666666666666669,0.16666666666666669
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,1,15,0.16666666666666666,0.16666666666666666,0.6666666666666666
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,1,16,0.16666666666666669,0.6666666666666667,0.16666666666666669
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,1,17,0.6666666666666667,0.16666666666666669,0.16666666666666669
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,1,18,0.16666666666666666,0.16666666666666666,0.6666666666666666
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,1,19,0.16666666666666666,0.16666666666666666,0.6666666666666666
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,1,20,0.16666666666666669,0.6666666666666667,0.16666666666666669
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,1,21,0.6666666666666667,0.16666666666666669,0.16666666666666669
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,1,22,0.6666666666666667,0.16666666666666669,0.16666666666666669
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,1,23,0.6666666666666667,0.16666666666666669,0.16666666666666669
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,1,24,0.6666666666666667,0.16666666666666669,0.16666666666666669
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,1,25,0.6666666666666667,0.16666666666666669,0.16666666666666669
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,1,26,0.16666666666666666,0.16666666666666666,0.6666666666666666
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,1,27,0.16666666666666666,0.16666666666666666,0.6666666666666666
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,1,28,0.16666666666666669,0.6666666666666667,0.16666666666666669
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,1,29,0.6666666666666667,0.16666666666666669,0.16666666666666669
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,1,30,0.6666666666666667,0.16666666666666669,0.16666666666666669
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,1,31,0.6666666666666667,0.16666666666666669,0.16666666666666669
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,1,32,0.16666666666666666,0.16666666666666666,0.6666666666666666
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,1,33,0.16666666666666666,0.16666666666666666,0.6666666666666666
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,1,34,0.6666666666666667,0.16666666666666669,0.16666666666666669
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,1,35,0.16666666666666666,0.16666666666666666,0.6666666666666666
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,1,36,0.6666666666666667,0.16666666666666669,0.16666666666666669
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,1,37,0.16666666666666669,0.6666666666666667,0.16666666666666669
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,1,38,0.16666666666666666,0.16666666666666666,0.6666666666666666
