run_id,grid_x,grid_y,grid_z,distinct_flight_count
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,4,18,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,4,21,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,4,24,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,4,27,0,2
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,4,28,0,2
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,4,31,0,2
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,4,34,1,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,4,35,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,4,36,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,4,40,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,4,46,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,4,47,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,4,48,0,2
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,4,49,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,4,50,0,3
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,4,51,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,4,52,0,3
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,4,56,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,5,1,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,5,2,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,5,3,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,5,4,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,5,5,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,5,6,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,5,7,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,5,9,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,5,10,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,5,12,0,3
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,5,13,0,2
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,5,14,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,5,15,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,5,16,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,5,17,0,2
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,5,19,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,5,20,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,5,21,1,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,5,24,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,5,25,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,5,26,0,2
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,5,27,0,2
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,5,29,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,5,30,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,5,31,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,5,33,2,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,5,35,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,5,36,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,5,40,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,5,46,0,2
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,5,47,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,5,48,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,5,49,0,2
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,5,50,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,5,51,0,5
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,5,53,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,5,55,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,5,56,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,5,57,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,5,58,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,5,59,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,6,0,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,6,1,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,6,2,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,6,3,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,6,4,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,6,5,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,6,6,0,2
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,6,7,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,6,7,1,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,6,8,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,6,8,1,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,6,9,1,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,6,10,1,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,6,11,1,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,6,12,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,6,12,1,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,6,13,0,2
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,6,13,1,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,6,14,1,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,6,15,1,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,6,16,1,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,6,17,1,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,6,18,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,6,18,1,2
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,6,19,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,6,19,1,2
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,6,20,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,6,20,1,2
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,6,21,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,6,21,1,2
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,6,21,2,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,6,22,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,6,22,1,2
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,6,23,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,6,25,0,2
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,6,26,0,3
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,6,27,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,6,29,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,6,30,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,6,31,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,6,32,2,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,6,35,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,6,36,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,6,40,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,6,45,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,6,46,0,2
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,6,48,0,3
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,6,49,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,6,50,0,5
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,6,51,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,6,52,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,6,53,0,3
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,6,54,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,6,55,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,6,56,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,7,2,0,2
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,7,7,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,7,8,0,2
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,7,11,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,7,14,0,2
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,7,19,0,2
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,7,21,3,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,7,23,2,2
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,7,24,0,2
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,7,24,1,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,7,25,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,7,25,1,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,7,26,0,2
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,7,26,1,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,7,27,0,2
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,7,27,1,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,7,28,1,2
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,7,29,1,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,7,30,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,7,31,0,2
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,7,31,1,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,7,35,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,7,36,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,7,39,0,1
