global_generation,stage,stage_generation,fitness,Tdelay,Tair,ORISK,Nc,n_delay,n_battery,conflict_pairs,delta
50,stage1,50,3311437.6193752624,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.99990234375
51,stage1,51,3311403.9965960453,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9998921796090625
52,stage1,52,3311367.630746426,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.99988118624
53,stage1,53,3311328.357306066,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9998693139084375
54,stage1,54,3311286.005304065,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.99985651093
55,stage1,55,3311240.397194911,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9998427236328125
56,stage1,56,3311191.348734432,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.99982789632
57,stage1,57,3311138.668855746,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9998119712321875
58,stage1,58,3311082.159545213,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.99979488851
59,stage1,59,3311021.6157183843,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9997765861565625
60,stage1,60,3310956.825095954,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.999757
61,stage1,61,3310887.5680797086,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9997360636559375
62,stage1,62,3310813.61762848,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.99971370849
63,stage1,63,3310734.7391340947,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9996898635803125
64,stage1,64,3310650.690297323,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.99966445568
65,stage1,65,3310561.2210038337,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9996374091796875
66,stage1,66,3310466.073200142,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.99960864607
67,stage1,67,3310364.9807695597,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9995780859040625
68,stage1,68,3310257.6694081477,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.99954564576
69,stage1,69,3310143.856500667,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9995112402034375
70,stage1,70,3310023.250996527,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.99947478125
71,stage1,71,3309895.553285739,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9994361783278125
72,stage1,72,3309760.455074865,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.99939533824
73,stage1,73,3309617.639262969,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9993521651271875
74,stage1,74,3309466.7798175695,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.99930656043
75,stage1,75,3309307.5416505863,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9992584228515625
76,stage1,76,3309139.580494294,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.99920764832
77,stage1,77,3308962.542777274,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9991541299509376
78,stage1,78,3308776.065500361,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.99909775801
79,stage1,79,3308579.776112599,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9990384198753125
80,stage1,80,3308373.292387186,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.998976
81,stage1,81,3308156.2222974314,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9989103798746874
82,stage1,82,3307928.1638927017,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.99884143799
83,stage1,83,3307688.705174372,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9987690497990624
84,stage1,84,3307437.4239717787,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.99869308768
85,stage1,85,3307173.88781817,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9986134208984375
86,stage1,86,3306897.6538266526,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.99852991557
87,stage1,87,3306608.2685661493,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9984424346228125
88,stage1,88,3306305.267937345,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.99835083776
89,stage1,89,3305988.177048636,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9982549814221875
90,stage1,90,3305656.510092087,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.99815471875
91,stage1,91,3305309.7702193754,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9980498995465625
92,stage1,92,3304947.449417746,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.99794037024
93,stage1,93,3304569.028385959,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9978259738459375
94,stage1,94,3304173.9764102437,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.99770654993
95,stage1,95,3303761.751240247,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9975819345703125
96,stage1,96,3303331.7989649847,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.99745196032
97,stage1,97,3302883.553888792,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9973164561696874
98,stage1,98,3302416.4384072763,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.99717524751
99,stage1,99,3301929.862883264,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9970281560940625
100,stage1,100,3301423.225522755,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.996875
101,stage1,101,3300895.9122508713,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9967155935934375
102,stage1,102,3300347.2965878085,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.99654974749
103,stage1,103,3299776.739524785,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9963772685178125
104,stage1,104,3299183.589399997,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.99619795968
105,stage1,105,3298567.1817745636,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9960116201171875
106,stage1,106,3297926.839308481,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.99581804507
107,stage1,107,3297261.8716365737,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9956170258415625
108,stage1,108,3296571.575244444,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.99540834976
109,stage1,109,3295855.233344419,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9951918001409374
110,stage1,110,3295112.11575151,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.99496715625
111,stage1,111,3294341.478759356,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9947341932653125
112,stage1,112,3293542.565016177,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.99449268224
113,stage1,113,3292714.6034007245,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9942423900646875
114,stage1,114,3291856.808898232,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.99398307943
115,stage1,115,3290968.382476367,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9937145087890625
116,stage1,116,3290048.5109611796,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.99343643232
117,stage1,117,3289096.3669130546,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9931485998884375
118,stage1,118,3288111.108502662,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.99285075701
119,stage1,119,3287091.879386907,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9925426448128125
120,stage1,120,3286037.8085848833,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.992224
121,stage1,121,3284948.0103538213,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9918945548121875
122,stage1,122,3283821.584065038,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.99155403699
123,stage1,123,3282657.6140798912,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9912021697365625
124,stage1,124,3281455.169625726,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.99083867168
125,stage1,125,3280213.3046718305,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9904632568359375
126,stage1,126,3278931.0578053826,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.99007563457
127,stage1,127,3277607.452107401,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9896755095603125
128,stage1,128,3276241.495028699,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.98926258176
129,stage1,129,3274832.1782658305,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9888365463596875
