action_type,plan_id,old_pairs,new_pairs,old_points,new_points,accepted,rollback,runtime_ms,reason,old_target_points,new_target_points,new_pairs_created_by_action,stage,iter,segment_idx,pair,segment_points,conflict_class,matched_strategy,candidate_rank,prob_delay,prob_speed,prob_reroute,source,prob_delay_after,prob_speed_after,prob_reroute_after,round,unit_id,plan_a,plan_b,strategy,actor_flight,old_global_points,new_global_points,old_global_pairs,new_global_pairs
delay,33,21,22,21,23,False,True,8.070800000041345,local_pair_not_improved,1.0,1.0,1.0,stage2_independent_matching,49,0,33-62,1,crossing,delay,1,0.8748758677393198,0.12512413114309312,1.1175870895385742e-09,ADM_ref6_independent_matching,,,,49,0,33,62,delay,33,21,23,21,22
delay,33,21,21,21,21,True,False,10.697799999888957,local_pair_points_decreased,1.0,0.0,1.0,stage2_independent_matching,49,0,33-62,1,crossing,delay,2,0.8748758677393198,0.12512413114309312,1.1175870895385742e-09,ADM_ref6_independent_matching,0.9374379338696599,0.06256206557154656,5.587935447692871e-10,49,0,33,62,delay,33,21,21,21,21
cruise_level,33,21,22,21,22,False,True,19.059000000197557,local_pair_not_improved,1.0,1.0,1.0,stage2_independent_matching,50,0,33-69,1,head_to_head,reroute,0,2.288818359375e-06,2.288818359375e-06,0.9999954223632812,ADM_ref6_independent_matching,,,,50,0,33,69,reroute,33,21,22,21,22
cruise_level,33,21,21,21,21,False,True,9.173800000098709,local_pair_not_improved,1.0,1.0,0.0,stage2_independent_matching,50,0,33-69,1,head_to_head,reroute,1,2.288818359375e-06,2.288818359375e-06,0.9999954223632812,ADM_ref6_independent_matching,,,,50,0,33,69,reroute,33,21,21,21,21
cruise_level,69,21,19,21,19,True,False,8.76620000008188,local_pair_points_decreased,1.0,0.0,0.0,stage2_independent_matching,50,0,33-69,1,head_to_head,reroute,2,2.288818359375e-06,2.288818359375e-06,0.9999954223632812,ADM_ref6_independent_matching,1.1444091796875e-06,1.1444091796875e-06,0.9999977111816406,50,0,33,69,reroute,69,21,19,21,19
delay,34,19,19,19,19,False,True,8.182200000192097,local_pair_not_improved,1.0,1.0,0.0,stage2_independent_matching,51,0,34-61,1,crossing,delay,0,0.9374379338696599,0.06256206557154656,5.587935447692871e-10,ADM_ref6_independent_matching,,,,51,0,34,61,delay,34,19,19,19,19
delay,61,19,19,19,19,False,True,7.745400000203517,local_pair_not_improved,1.0,1.0,0.0,stage2_independent_matching,51,0,34-61,1,crossing,delay,1,0.9374379338696599,0.06256206557154656,5.587935447692871e-10,ADM_ref6_independent_matching,,,,51,0,34,61,delay,61,19,19,19,19
delay,34,19,20,19,20,True,False,7.598300000154268,local_pair_points_decreased,1.0,0.0,2.0,stage2_independent_matching,51,0,34-61,1,crossing,delay,2,0.9374379338696599,0.06256206557154656,5.587935447692871e-10,ADM_ref6_independent_matching,0.96871896693483,0.03128103278577328,2.7939677238464354e-10,51,0,34,61,delay,34,19,20,19,20
delay,34,20,20,20,20,False,True,7.708999999977095,local_pair_not_improved,1.0,1.0,0.0,stage2_independent_matching,52,0,27-34,1,crossing,delay,0,0.96871896693483,0.03128103278577328,2.7939677238464354e-10,ADM_ref6_independent_matching,,,,52,0,27,34,delay,34,20,20,20,20
delay,34,20,20,20,20,True,False,7.534899999882327,local_pair_points_decreased,1.0,0.0,2.0,stage2_independent_matching,52,0,27-34,1,crossing,delay,1,0.96871896693483,0.03128103278577328,2.7939677238464354e-10,ADM_ref6_independent_matching,0.984359483467415,0.01564051639288664,1.3969838619232177e-10,52,0,27,34,delay,34,20,20,20,20
