global_generation,stage,stage_generation,fitness,Tdelay,Tair,ORISK,Nc,n_delay,n_battery,delta
24,stage1,24,2678899.289720009,7402.287736821594,58660.68059997168,757.6201890126889,57,6,0,0.99999751168
25,stage1,25,2678897.782564972,7402.287736821594,58660.68059997168,757.6201890126889,57,6,0,0.9999969482421875
26,stage1,26,2678896.0139776124,7402.287736821594,58660.68059997168,757.6201890126889,57,6,0,0.99999628707
27,stage1,27,2678893.9513321803,7402.287736821594,58660.68059997168,757.6201890126889,57,6,0,0.9999955159665626
28,stage1,28,2678891.559394871,7402.287736821594,58660.68059997168,757.6201890126889,57,6,0,0.99999462176
29,stage1,29,2678888.8002235163,7402.287736821594,58660.68059997168,757.6201890126889,57,6,0,0.9999935902659375
30,stage1,30,2678885.633067275,7402.287736821594,58660.68059997168,757.6201890126889,57,6,0,0.99999240625
31,stage1,31,2678882.014266322,7402.287736821594,58660.68059997168,757.6201890126889,57,6,0,0.9999910533903125
32,stage1,32,2678877.897151539,7402.287736821594,58660.68059997168,757.6201890126889,57,6,0,0.99998951424
33,stage1,33,2678873.231944207,7402.287736821594,58660.68059997168,757.6201890126889,57,6,0,0.9999877701896875
34,stage1,34,2678867.965655693,7402.287736821594,58660.68059997168,757.6201890126889,57,6,0,0.99998580143
35,stage1,35,2678862.041987142,7402.287736821594,58660.68059997168,757.6201890126889,57,6,0,0.9999835869140625
36,stage1,36,2678855.401229166,7402.287736821594,58660.68059997168,757.6201890126889,57,6,0,0.99998110432
37,stage1,37,2678847.980161538,7402.287736821594,58660.68059997168,757.6201890126889,57,6,0,0.9999783300134375
38,stage1,38,2678839.7119528763,7402.287736821594,58660.68059997168,757.6201890126889,57,6,0,0.99997523901
39,stage1,39,2678830.5260603405,7402.287736821594,58660.68059997168,757.6201890126889,57,6,0,0.9999718049378125
40,stage1,40,2672531.5682141464,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.999968
41,stage1,41,2672520.346374198,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.9999637949371875
42,stage1,42,2672507.974654756,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.99995915899
43,stage1,43,2672494.3668667735,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.9999540598615625
44,stage1,44,2672479.432618079,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.99994846368
45,stage1,45,2672463.077213302,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.9999423349609375
46,stage1,46,2672445.2015538006,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.99993563657
47,stage1,47,2672425.7020375878,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.9999283296853125
48,stage1,48,2672404.4704592535,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.99992037376
49,stage1,49,2672381.393909894,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.9999117264846875
50,stage1,50,2672356.3546770355,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.99990234375
51,stage1,51,2672329.23014456,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.9998921796090625
52,stage1,52,2672299.8926926306,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.99988118624
53,stage1,53,2672268.2095976193,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.9998693139084375
54,stage1,54,2672234.0429320303,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.99985651093
55,stage1,55,2672197.2494644253,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.9998427236328125
56,stage1,56,2672157.680559352,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.99982789632
57,stage1,57,2672115.1820772663,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.9998119712321875
58,stage1,58,2672069.5942744603,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.99979488851
59,stage1,59,2672020.751702988,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.9997765861565625
60,stage1,60,2671968.483110588,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.999757
61,stage1,61,2671912.611340614,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.9997360636559375
62,stage1,62,2671852.953231955,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.99971370849
63,stage1,63,2671789.3195189657,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.9996898635803125
64,stage1,64,2671721.514731389,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.99966445568
65,stage1,65,2671649.337094283,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.9996374091796875
66,stage1,66,2671572.5784279467,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.99960864607
67,stage1,67,2671491.024047844,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.9995780859040625
68,stage1,68,2671404.452664532,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.99954564576
69,stage1,69,2671312.636283584,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.9995112402034375
70,stage1,70,2671215.3401055173,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.99947478125
71,stage1,71,2671112.3224257184,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.9994361783278125
72,stage1,72,2671003.3345343666,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.99939533824
73,stage1,73,2670888.120616362,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.9993521651271875
74,stage1,74,2670766.41765125,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.99930656043
75,stage1,75,2670637.9553131484,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.9992584228515625
76,stage1,76,2670502.4558706693,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.99920764832
77,stage1,77,2670359.6340868506,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.9991541299509376
78,stage1,78,2670209.197119075,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.99909775801
79,stage1,79,2670050.8444190016,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.9990384198753125
80,stage1,80,2669884.2676324877,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.998976
81,stage1,81,2669709.1504995152,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.9989103798746874
