run_id,plan_a,plan_b,conflict_points
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,45,63,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,45,83,2
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,45,94,2
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,45,95,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,45,97,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,46,50,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,46,53,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,47,81,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,47,84,2
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,48,60,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,48,75,2
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,48,94,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,49,53,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,50,71,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,51,99,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,54,55,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,54,58,3
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,54,91,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,55,68,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,56,60,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,56,77,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,56,89,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,59,67,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,61,67,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,63,70,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,63,86,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,63,94,2
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,64,69,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,64,90,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,64,92,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,68,79,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,69,97,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,70,94,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,71,72,2
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,72,93,2
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,75,81,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,80,98,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,83,99,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,86,87,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,91,96,1
