flight_id,degree,weighted_degree,degree_centrality,closeness,betweenness,pagerank,collective_influence,weighted_collective_influence
59,1,1,0.010101010101010102,0.07971014492753623,0.0,0.00503739035569531,0.0,17.0
60,0,0,0.0,0.0,0.0,0.001670378619153675,0.0,0.0
61,1,1,0.010101010101010102,0.016161616161616165,0.0,0.007489422788043089,0.0,15.0
66,1,1,0.010101010101010102,0.010101010101010102,0.0,0.011135857461024497,0.0,0.0
67,1,1,0.010101010101010102,0.055276381909547735,0.0,0.006655657373829781,0.0,3.0
68,1,1,0.010101010101010102,0.016161616161616165,0.0,0.007489422788043089,0.0,2.0
71,0,0,0.0,0.0,0.0,0.001670378619153675,0.0,0.0
72,0,0,0.0,0.0,0.0,0.001670378619153675,0.0,0.0
74,0,0,0.0,0.0,0.0,0.001670378619153675,0.0,0.0
75,1,1,0.010101010101010102,0.017957351290684626,0.0,0.006701253076176578,0.0,3.0
76,1,1,0.010101010101010102,0.01346801346801347,0.0,0.008575727535997092,0.0,21.0
77,2,22,0.020202020202020204,0.020202020202020204,0.00020614306328592042,0.01625611731107932,0.0,0.0
79,1,1,0.010101010101010102,0.07586206896551724,0.0,0.005567581416646832,0.0,11.0
84,1,1,0.010101010101010102,0.04267676767676768,0.0,0.005731866226137771,0.0,9.0
85,2,5,0.020202020202020204,0.022727272727272728,0.00041228612657184083,0.014457078107294963,0.0,10.0
86,1,1,0.010101010101010102,0.010101010101010102,0.0,0.011135857461024497,0.0,0.0
87,2,15,0.020202020202020204,0.02693602693602694,0.0008245722531436817,0.013308466956932502,0.0,30.0
90,0,0,0.0,0.0,0.0,0.001670378619153675,0.0,0.0
91,1,1,0.010101010101010102,0.016161616161616165,0.0,0.007489422788043089,0.0,15.0
93,0,0,0.0,0.0,0.0,0.001670378619153675,0.0,0.0
94,1,1,0.010101010101010102,0.016161616161616165,0.0,0.007489422788043089,0.0,2.0
95,2,2,0.020202020202020204,0.02693602693602694,0.0008245722531436817,0.013308466956932502,0.0,4.0
96,1,2,0.010101010101010102,0.015151515151515152,0.0,0.007814636814754033,0.0,10.0
98,0,0,0.0,0.0,0.0,0.001670378619153675,0.0,0.0
