global_generation,stage,stage_generation,fitness,Nc,Tdelay,Tair,ORISK,delta,n_delay,n_battery
51,stage2,1,9900.693830508366,73,28190.115579157846,68506.9902489509,1171.9923389068083,0.99999999968,19,8
52,stage2,2,4100.900952381498,112,16612.424396794533,62994.526810721145,1166.8990412157104,0.99999998976,21,2
53,stage2,3,4100.900952331531,112,16612.424396794533,62994.526810721145,1166.8990412157104,0.99999992224,21,2
54,stage2,4,4100.90095214658,112,16612.424396794533,62994.526810721145,1166.8990412157104,0.99999967232,21,2
55,stage2,5,4100.900951649036,112,16612.424396794533,62994.526810721145,1166.8990412157104,0.999999,21,2
56,stage2,6,4100.90095054762,112,16612.424396794533,62994.526810721145,1166.8990412157104,0.99999751168,21,2
57,stage2,7,4100.900948408964,112,16612.424396794533,62994.526810721145,1166.8990412157104,0.99999462176,21,2
58,stage2,8,4100.900944629195,112,16612.424396794533,62994.526810721145,1166.8990412157104,0.99998951424,21,2
59,stage2,9,2900.880102119463,110,15582.711675180873,62433.92835269737,1162.4669795351217,0.99998110432,19,1
60,stage2,10,2800.7605275728433,93,15376.097892362823,61708.13424957181,1156.9500730517511,0.999968,18,1
61,stage2,11,2800.7605158129754,93,15376.097892362823,61708.13424957181,1156.9500730517511,0.99994846368,18,1
62,stage2,12,2800.7604989042775,93,15376.097892362823,61708.13424957181,1156.9500730517511,0.99992037376,18,1
63,stage2,13,2800.76047531539,93,15376.097892362823,61708.13424957181,1156.9500730517511,0.99988118624,18,1
64,stage2,14,2400.8235256560192,104,22371.05173676887,60827.19948726633,1160.500463721637,0.99982789632,24,0
65,stage2,15,2400.8234786136527,104,22371.05173676887,60827.19948726633,1160.500463721637,0.999757,24,0
66,stage2,16,2300.8410061795985,107,20246.67596012149,60760.16645642342,1158.842403890297,0.99966445568,23,0
67,stage2,17,2300.8409251600638,107,20246.67596012149,60760.16645642342,1158.842403890297,0.99954564576,23,0
68,stage2,18,2300.840822661507,107,20246.67596012149,60760.16645642342,1158.842403890297,0.99939533824,23,0
69,stage2,19,2300.840694670932,107,20246.67596012149,60760.16645642342,1158.842403890297,0.99920764832,23,0
70,stage2,20,2300.840536703996,107,20246.67596012149,60760.16645642342,1158.842403890297,0.998976,23,0
71,stage2,21,2300.8403437788215,107,20246.67596012149,60760.16645642342,1158.842403890297,0.99869308768,23,0
72,stage2,22,2200.9457892356836,125,21523.195889570066,60187.89875163915,1144.9169218879986,0.99835083776,22,0
73,stage2,23,2200.9454653197586,125,21523.195889570066,60187.89875163915,1144.9169218879986,0.99794037024,22,0
74,stage2,24,2000.6101605024428,71,21569.88088963803,60737.28744217533,1151.2607673633531,0.99745196032,20,0
75,stage2,25,2000.6098995303942,71,21569.88088963803,60737.28744217533,1151.2607673633531,0.996875,20,0
76,stage2,26,2000.6095932899243,71,21569.88088963803,60737.28744217533,1151.2607673633531,0.99619795968,20,0
77,stage2,27,2000.6092361317085,71,21569.88088963803,60737.28744217533,1151.2607673633531,0.99540834976,20,0
78,stage2,28,2000.6088219548226,71,21569.88088963803,60737.28744217533,1151.2607673633531,0.99449268224,20,0
79,stage2,29,1900.6906026957495,84,21192.531869279126,60725.56272790391,1153.5345883439809,0.99343643232,19,0
80,stage2,30,1900.689953997618,84,21192.531869279126,60725.56272790391,1153.5345883439809,0.992224,19,0
81,stage2,31,1900.6892127934468,84,21192.531869279126,60725.56272790391,1153.5345883439809,0.99083867168,19,0
82,stage2,32,1900.6883695244499,84,21192.531869279126,60725.56272790391,1153.5345883439809,0.98926258176,19,0
83,stage2,33,1900.5388283004725,61,21973.452097829908,60203.927078843,1149.0056015398945,0.98747667424,19,0
84,stage2,34,1600.629254423456,75,21691.646947626872,60663.22254220054,1151.3617905885042,0.98546066432,16,0
85,stage2,35,1600.6099568871234,72,22884.966552486407,60681.698120172085,1152.1386777027624,0.983193,16,0
86,stage2,36,1600.6087918756589,72,22884.966552486407,60681.698120172085,1152.1386777027624,0.98065082368,16,0
87,stage2,37,1600.6074899717348,72,22884.966552486407,60681.698120172085,1152.1386777027624,0.97780993376,16,0
88,stage2,38,1600.6060394508881,72,22884.966552486407,60681.698120172085,1152.1386777027624,0.97464474624,16,0
89,stage2,39,1600.6044279375403,72,22884.966552486407,60681.698120172085,1152.1386777027624,0.97112825632,16,0
90,stage2,40,1600.4471354075206,47,23466.320058028447,60424.774885521234,1148.5463799739655,0.967232,16,0
91,stage2,41,1600.4458527235981,47,23466.320058028447,60424.774885521234,1148.5463799739655,0.96292601568,16,0
92,stage2,42,1600.44443860562,47,23466.320058028447,60424.774885521234,1148.5463799739655,0.95817880576,16,0
93,stage2,43,1600.4428832019657,47,23466.320058028447,60424.774885521234,1148.5463799739655,0.95295729824,16,0
94,stage2,44,1600.380944721012,37,24530.586028987396,60343.6826299063,1147.1244494924558,0.94722680832,16,0
95,stage2,45,1400.5105231036973,59,26864.013261516964,60291.90377793109,1143.9412576272086,0.940951,14,0
96,stage2,46,1400.5079638357097,59,26864.013261516964,60291.90377793109,1143.9412576272086,0.93409184768,14,0
97,stage2,47,1400.5051720792646,59,26864.013261516964,60291.90377793109,1143.9412576272086,0.9266095977600001,14,0
98,stage2,48,1400.5021323425344,59,26864.013261516964,60291.90377793109,1143.9412576272086,0.91846273024,14,0
99,stage2,49,1400.4988284602896,59,26864.013261516964,60291.90377793109,1143.9412576272086,0.90960792032,14,0
100,stage2,50,1400.4784477314174,56,26961.5447230446,60332.941285946705,1143.9412576272086,0.9,14,0
