conflict_id,plan_a,plan_b,cell_x,cell_y,cell_z,P_schedule,P_speed,P_reroute,selected_strategy,target_flight
32,70,87,14,26,1,7.401486830834377e-16,0.999999999999999,2.960594732333751e-16,speed,70
33,70,87,13,26,1,0.9999999999999994,2.960594732333751e-16,2.960594732333751e-16,scheduling,87
34,20,26,12,26,1,0.9999999870906752,1.290905723057752e-08,2.6763776380297115e-13,scheduling,20
35,87,88,8,26,1,0.9999999999999941,2.960594732333751e-16,5.625129991434127e-15,scheduling,88
36,15,23,37,51,2,0.9999999999999994,2.960594732333751e-16,2.960594732333751e-16,scheduling,15
37,15,24,37,51,2,0.999999999651083,2.960594732333751e-16,3.4891674734656896e-10,scheduling,24
38,23,24,37,51,2,0.9999999999999994,2.960594732333751e-16,2.960594732333751e-16,scheduling,23
39,32,67,51,34,1,0.9999999999999657,3.4046839421838136e-14,2.960594732333751e-16,scheduling,67
40,29,73,45,16,1,0.9999999999962074,3.271457179228795e-14,3.759955310063864e-12,scheduling,29
41,29,73,44,17,1,0.9999999631257225,2.960594732333751e-16,3.687427726125255e-08,scheduling,73
42,19,29,43,29,1,1.4062824978585317e-14,0.9999996361739399,3.638260460310979e-07,speed,19
43,39,81,37,35,1,2.960594732333751e-16,0.9999999999999892,1.0510111299784816e-14,speed,81
44,30,35,30,43,1,0.9999999999999986,2.960594732333751e-16,1.1842378929335004e-15,scheduling,30
45,21,56,15,22,2,2.960594732333751e-16,2.960594732333751e-16,0.9999999999999994,rerouting,56
46,52,77,15,21,2,0.9999999999999994,2.960594732333751e-16,2.960594732333751e-16,scheduling,52
47,21,56,15,21,2,2.960594732333751e-16,2.960594732333751e-16,0.9999999999999994,rerouting,56
48,38,65,32,30,2,0.999957111010182,4.288898857292741e-05,1.2450781146829596e-12,scheduling,38
49,22,33,12,30,2,2.960594732333751e-16,0.9999999999987174,1.2823816083103643e-12,speed,33
50,45,66,37,30,1,2.960594732333751e-16,2.294460917558657e-14,0.9999999999999768,rerouting,45
51,46,47,13,36,2,2.960594732333751e-16,0.999999999999999,7.401486830834377e-16,speed,47
52,27,89,24,45,2,3.4046839421838135e-15,0.9989561573462881,0.0010438426537085672,speed,27
53,31,63,28,37,3,2.960594732333751e-16,0.9999999999999994,2.960594732333751e-16,speed,63
54,52,77,11,21,2,0.9999999999999994,2.960594732333751e-16,2.960594732333751e-16,scheduling,52
55,33,48,11,19,2,0.9999999999998977,9.932795326979733e-14,2.96059473233375e-15,scheduling,48
